SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
Fagatuitui - Vaaogeoge,1.2388530503932262,0.0,0.0,1.3816081279091654,4.391634090403867,7.533219180550023,0.5983510175109632
Vatia,1.4025910389293803,0.14220035578946255,0.008824070317136971,1.1886261692408422,4.370661299490731,7.305922127691446,0.4817064584644156
Tula,0.5695817934079374,0.14605629099490053,0.0063423005404317934,0.25486121174797743,0.9748120508616875,1.7473676998648202,0.06830565806008497
Onenoa,0.25971353124491187,0.04107880587512213,0.0016545131844620746,0.18378975859422428,0.5802405333390602,1.016978248580008,0.029103346462397667
Afono,1.0668765302086678,0.0958790409265594,0.004963539553389338,0.6382091592117191,3.2188921760163205,5.224828979466281,0.3900919264460066
Masefau,1.1736105552986895,0.21965639258751044,0.0046877873559793845,0.7436834528550882,3.136478564472723,5.165003618907793,0.340633012456297
Aoa,0.6665376455185669,0.09496584153845378,0.00330902636892339,0.3869842026626319,1.4160408428945532,2.462013964460762,0.07591182235787076
Masausi,0.49939641834365484,0.12254703712094116,0.0013787609870523953,0.3510201380390772,1.1964359317253572,2.0224305322081597,0.09704409262731342
Sailele,0.18797154343993872,0.05495189916315169,0.003033274171512333,0.11744515959225572,0.4254130272213917,0.7101726640574084,0.024387983944165702
Alao,0.4627369988139617,0.1362096390752451,0.003309026368916979,0.24102580439348475,0.9457349055610703,1.5779170464188819,0.053913690965080294
Pago Pago Harbor,4.112854599219314,1.3167521593435125,0.10947362237202538,1.687621375829354,10.275708925751596,16.455325326127532,1.1761750411507783
Fagaitua,1.4226423563470068,0.4123777684783933,0.014339114265322951,1.0747097208234184,4.371266571538455,6.825095243898232,0.3146925435991055
Auasi,0.22603958842040206,0.07014033047133048,0.0013787609870526017,0.16685949310454304,0.6522210418993555,1.017258601660895,0.028435107044892202
Amouli,0.5839406684928814,0.20433789818492865,0.005239291750780482,0.3272231834735654,1.396016642103088,2.195996767704052,0.06509820048199526
Alega,0.3079954439464348,0.060597466153884616,0.000551504394820944,0.29228583843955497,1.2702929428288645,1.9594684982906019,0.14792772591693426
Laulii - Aumi,0.7984230167337584,0.15832036956478274,0.009099822514567193,0.4964288685501274,2.6201596937633442,4.05887846954186,0.27093480574944295
Fagasa,1.1101755966648368,0.1344347140264879,0.00992707910679961,0.6468388235520867,3.4782081526753204,5.727920508844065,0.6421092140602038
Aasu,2.568762686076219,0.16627122523728394,0.005239291750802315,2.1602560392954198,10.319880306020101,16.407062871307147,1.6396961054808563
Fagaalu,0.8340626161825432,0.1655528912722839,0.01654513184460755,0.48611343673175245,2.6309480322705405,4.283513933665642,0.43116153885579445
Aoloau Sisifo,0.3667389340468703,0.0,0.0,0.46107513535700556,1.551180110805548,2.5466225032709935,0.196539621475337
Aoloau Sasae,1.3668733019140233,0.020467247623463865,0.0008272565922310003,1.474258111018793,6.218730446656452,9.886385042669133,0.948652820402098
Fagamalo,0.551451082632017,0.049810039926835234,0.0005515043948198458,0.5828211149584315,2.0366593141436904,3.3072735122158994,0.20145030807048384
Matuu - Faganeanea,0.63092378637676,0.13618849785251647,0.012684601080867448,0.610419312299906,2.981196533214169,4.5501217138363295,0.4007056288143921
Nuuuli Pala,7.941102585100271,2.2669542511182184,0.17455114096078758,2.6560465537610884,18.971028689965266,30.737992187597648,2.568008976144134
Maloata,0.7209090892411042,0.07447791313372519,0.0005515043948199653,0.8596933225864696,3.3060854573298784,5.329669581539204,0.5559807723332789
Fagalii,0.6517269932963614,0.1516379758156283,0.0030332741715152645,0.5865768570078952,2.20389567076741,3.5987812717008123,0.3289645591418681
Afao - Asili,0.8037749155121694,0.04901909048639166,0.004136282961156312,0.817443951768148,3.516387883159435,5.713699083097431,0.6207250926797294
Leone,8.004308213116362,1.578348622444186,0.04660212136223114,2.4033977805020186,17.342473056619014,28.42153005676417,2.161835190619124
Poloa,0.3425701712613122,0.11616061592046041,0.002481769776685896,0.3096848824816849,1.159281078605617,1.8467147869237726,0.15777207933933005
Nua - Seetaga,0.9014670220323397,0.11508885857850477,0.005790796145628933,0.916213331413174,3.6849712885413712,5.937304253921659,0.5309240857406268
Tafuna Plain,10.381824834426602,2.326000166114572,0.16627857503845195,0.6034308338247352,12.958097631681541,23.2773505504864,0.8977030066538961
Amanave,0.3664190606370309,0.06717737314172344,0.004412035158562591,0.28274527326151666,1.0830512249680864,1.8046418706486254,0.11802653589954253
Fagatele - Larsen,1.3317714218324244,0.1049990861808669,0.0019302653818711333,0.6796395497035539,2.475214681801177,4.72820851472559,0.35907210261678246
