,Variable,total_[m3pd],total_[MGD],total_[Mld],pct_of_pcip
0,actual_et,206186.2189863668,54.46863669515151,206.18612203219348,0.22822211710347665
1,direct_net_infiltation,42449.77391479956,11.21404390906174,42.449753953801405,0.04698654120060309
2,direct_soil_moisture,2481.585301696323,0.6555654829436609,2.4815841347897636,0.0027468016733138327
3,interception,99200.52006035643,26.206005007031607,99.20047341366752,0.10980245341924336
4,net_infiltration,524053.2561445571,138.44022436696625,524.0530097209577,0.580060802221653
5,rainfall,860995.6134263462,227.4509785105456,860.9952085636045,0.9530134587993969
6,runoff,65410.14508205639,17.279532289630165,65.41011432448893,0.072400773747442
