SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
Fagatuitui - Vaaogeoge,4.698009613070477,0.0,0.0,6.510349242446696,28.081193341790122,48.051998269397096,10.24037224851778
Vatia,5.354418408970643,0.5382866488089895,0.03340272401919346,5.5688117057098365,28.06585947755058,46.59813571884064,8.805234651744703
Tula,2.2108897720395566,0.5528829444950064,0.024008207888755916,1.2843399600861354,6.745191251006724,11.142914067397944,1.4022515785712233
Onenoa,0.9927307027181069,0.15550012254774606,0.006263010753594582,0.9323535379680564,4.03492207732082,6.485911283392118,0.7793447015623765
Afono,4.080466374914385,0.36294148031380724,0.018789032260795535,3.0072976895469936,20.803360938623403,33.32600271492323,6.171963975206529
Masefau,4.484013030723711,0.8314895050646879,0.017745197135197923,3.5546100201030963,20.37384013234828,32.94405451203518,5.833491739682856
Aoa,2.5614739829908872,0.35948464621807835,0.012526021507186291,1.929715393815508,9.698962809134134,15.704582844627552,2.0283125620402824
Masausi,1.9059368068565585,0.4638907797879819,0.005219175627998008,1.6888295481393567,8.097430940069263,12.89956133368221,1.815309301074773
Sailele,0.7229758744851341,0.20801546861118606,0.0114821863815845,0.5867345030457866,2.8347900263685224,4.530079268632064,0.5940726657752258
Alao,1.785709606928853,0.5156093298518236,0.012526021507162022,1.2001076827926005,6.335312004546196,10.063522368070037,1.2816103252324154
Pago Pago Harbor,15.869615073724868,4.984446791500526,0.4144025448632886,7.837662147496204,64.11796222301057,104.95741984726588,19.298500324426413
Fagaitua,5.424748549869418,1.561018928575795,0.05427942653109615,5.143791602849402,28.232909604855315,43.531782179023054,6.18667163329581
Auasi,0.8613309829524802,0.26550990836947913,0.005219175627998789,0.8393547809684866,4.273415756416501,6.48728400875963,0.7188092276730957
Amouli,2.240964418182822,0.7735027231682108,0.019832867386321947,1.6515907361278366,9.14601031264917,14.008345711088973,1.6565124117099024
Alega,1.1695494161286326,0.22938625435357637,0.00208767025119915,1.404294010451963,7.818853991915105,12.499721903653244,2.413132826336408
Laulii - Aumi,3.0429898893214395,0.5993075101542242,0.0344465591448678,2.382026537829046,16.268046938680232,25.89046207429068,4.7657371381561
Fagasa,4.259155253257592,0.5088905108230076,0.03757806452167031,2.957623323313286,21.620031377743018,36.53423600464027,8.531073104554569
Aasu,9.759468685178689,0.629404758725467,0.019832867386404593,9.992626712234314,62.00240767628498,104.64739406710389,25.909463102946727
Fagaalu,3.1928480824123073,0.6266855701510162,0.06263010753589587,2.2237341469461493,15.643118434066988,27.322168648561618,6.766094028349275
Aoloau Sisifo,1.3883076804428531,0.0,0.0,2.1726349501576565,9.525724464387716,16.243818058413304,3.6912062980525473
Aoloau Sasae,5.181700179318415,0.07747692382633635,0.003131505376797151,6.752560742787535,36.89853127535775,63.056928975618646,16.111066271165075
Fagamalo,2.0938375761351504,0.18855142323944138,0.0020876702511949926,2.6924352433175005,12.742653831810072,21.09717045535531,4.170504059059651
Matuu - Faganeanea,2.3966541507610835,0.5155293016558944,0.04801641577752645,2.802394604407349,17.485336116322173,29.022689053571085,6.699330339981364
Nuuuli Pala,30.507337644068294,16.273104496679316,0.6607476345043749,12.295495698626322,127.04288192175801,196.0629824846211,38.01815235059645
Maloata,2.7345262147762357,0.2819294371555347,0.002087670251195445,3.932775836376861,20.18772605168833,33.996695650486366,8.194241439784083
Fagalii,2.4832663909993973,0.5740119100322375,0.011482186381595597,2.746973921548683,13.643747961944731,22.955005870881205,5.229695731619598
Afao - Asili,3.055888225613032,0.18555735531809187,0.015657526883990715,3.754379190377768,21.435227327479257,36.44256011685863,8.718316241039256
Leone,30.72583838640011,10.044336688083726,0.17640813622580337,11.103258593850143,116.74248900686881,181.2792376527944,33.696330455600084
Poloa,1.3080854597024005,0.4397155571114701,0.009394516130364558,1.488615012778814,7.098343324575597,11.77944096327596,2.656482123306519
Nua - Seetaga,3.4241114996262545,0.4356585161516578,0.02192053763762522,4.347425397844796,22.30361988518948,37.87098070608403,8.459316413361151
Tafuna Plain,40.422769282503225,11.236577401732387,0.6294325807363064,2.88459661589761,94.58610377628644,148.4733541344899,16.893648616774193
Amanave,1.4020532473462954,0.2542939000644113,0.01670136200957442,1.3705172424260326,6.758053023522716,11.511309210643672,2.180265392107931
Fagatele - Larsen,5.092883713703478,0.39746459081991536,0.007306845879188807,3.307438572095704,16.74803708412277,30.15591861153818,5.586612547284801
