SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
Fagatuitui - Vaaogeoge,1.2473636872167326,0.0,0.0,1.8587049263446018,8.375127357247434,15.112308639807914,4.250180559364981
Vatia,1.4170418266264677,0.14220035578946255,0.008824070317136971,1.5944157488319086,8.528385379016111,14.697745176426492,3.6012694686555657
Tula,0.5852955242850919,0.14605629099490053,0.0063423005404317934,0.3777304157258519,2.105789922868093,3.5401594707023065,0.6230625478703578
Onenoa,0.26383878322963866,0.04107880587512213,0.0016545131844620746,0.273926255492701,1.252271156865632,2.0366753824359654,0.3383346189032909
Afono,1.0808704815375323,0.0958790409265594,0.004963539553389338,0.8613731140307362,6.161740758233243,10.460158162007081,2.6515333976360336
Masefau,1.1826386717481439,0.21965639258751044,0.0046877873559793845,1.0326464828330009,6.186479854137709,10.519126079670782,2.5660823902397283
Aoa,0.6788490582392198,0.09496584153845378,0.00330902636892339,0.5601257874549964,2.935127989880416,4.857391567403264,0.8567276094671461
Masausi,0.502696711832623,0.12254703712094116,0.0013787609870523953,0.4938501270287821,2.495254053958398,4.155405450634875,0.8688000412326038
Sailele,0.19091198132385756,0.05495189916315169,0.003033274171512333,0.17105000664379894,0.8564831075358649,1.4111830178724107,0.25890879326513655
Alao,0.4738337323385105,0.1362096390752451,0.003309026368916979,0.34874472447838606,1.9345105958435511,3.142166838079062,0.5411310567179433
Pago Pago Harbor,4.232256677081155,1.3167521593435125,0.10947362237202538,2.2214123679931213,19.01798377891531,32.66012293567749,7.768289143139493
Fagaitua,1.4439451274415422,0.4123777684783933,0.014339114265322951,1.492026661078643,8.577116749481563,13.843128260784706,2.7605272134991656
Auasi,0.23103438163480564,0.07014033047133048,0.0013787609870526017,0.24279521546634078,1.2936183659585931,1.9889959729128104,0.27627934242137153
Amouli,0.5988625329256774,0.20433789818492865,0.005239291750780482,0.4811361115336328,2.7674619190475744,4.335399036161463,0.6781302626757364
Alega,0.31088073205686834,0.060597466153884616,0.000551504394820944,0.4027245963972956,2.28234762553088,3.893140794931455,0.9962260492686584
Laulii - Aumi,0.8153785726401708,0.15832036956478274,0.009099822514567193,0.6844647519385166,4.801028222473911,8.076163196758525,1.9544447099140725
Fagasa,1.135667504302015,0.1344347140264879,0.00992707910679961,0.8375361756175652,6.371011848882065,11.438233298505843,3.3802876390068892
Aasu,2.596177513561688,0.16627122523728394,0.005239291750802315,2.827203172218228,18.4341005774064,32.414415529191444,9.640191575347766
Fagaalu,0.8479191777345308,0.1655528912722839,0.01654513184460755,0.6270434953093681,4.535069810023037,8.440071987888029,2.605872050473761
Aoloau Sisifo,0.3689118602766627,0.0,0.0,0.6174385792461566,2.813759798165786,5.02656694343085,1.431274315514938
Aoloau Sasae,1.3753674074339042,0.020467247623463865,0.0008272565922310003,1.9074887126208666,11.0577150467172,19.60863996446868,5.959620373702499
Fagamalo,0.5573549356447306,0.049810039926835234,0.0005515043948198458,0.7565564875586492,3.753138602506168,6.4621101955062885,1.6086229633904021
Matuu - Faganeanea,0.6398039212362847,0.13618849785251647,0.012684601080867448,0.7934227150585444,5.077204626807681,9.016609736290702,2.6296846364387085
Nuuuli Pala,8.11354607155666,5.648013570147124,0.17455114096078758,3.4910917606048697,39.096429658770404,61.18678489216042,14.958254696390137
Maloata,0.7294766988007423,0.07447791313372519,0.0005515043948199653,1.102456827052501,5.853664901203126,10.335201937645074,3.0139834653908353
Fagalii,0.6664135603469808,0.1516379758156283,0.0030332741715152645,0.7685108022998087,3.9610364748535503,6.858572983974545,1.8213280989298797
Afao - Asili,0.8170335474045821,0.04901909048639166,0.004136282961156312,1.0565803879013846,6.267105224246157,11.145562764489107,3.19354733318053
Leone,8.181247818629627,3.276957820960557,0.04660212136223114,3.1443843830312743,35.72687155539641,56.3549882622708,13.080727408030835
Poloa,0.3515950814857494,0.11616061592046041,0.002481769776685896,0.41876693618582284,2.0659212220536642,3.5201969859827478,0.9222725266775961
Nua - Seetaga,0.921510535690846,0.11508885857850477,0.005790796145628933,1.232764906080598,6.543037127360858,11.58443619476796,3.1054251990890385
Tafuna Plain,10.713539525333415,3.3949099074350704,0.16627857503845195,0.8276729800414809,29.70586275963076,46.50654464129984,7.191512515703567
Amanave,0.37641553519833015,0.06717737314172344,0.004412035158562591,0.3891805657580661,2.00160017870512,3.4940961172055918,0.7851768054864298
Fagatele - Larsen,1.347195186235666,0.1049990861808669,0.0019302653818711333,0.9501827861272136,5.023043202876938,9.453543068650909,2.3130756120818448
