,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,267334.1193228245,65724.88951198802,2481.585301696323,155009.86651349443,1140511.9449758162,1938229.024857733,416291.34145347116
FEB,259823.3421366201,65724.88951198803,2481.585301696323,137925.16637471315,937531.1523005974,1551605.594737913,286488.3058563318
MAR,238297.28354307677,65724.88951198802,2481.585301696323,121204.99820201102,785387.5310262459,1248893.0736439822,162172.569213963
APR,205919.0005821794,65724.88951198802,2481.585301696323,129469.62455448015,885583.994993038,1403196.7927086353,241677.62909700428
MAY,168891.2146296965,65724.88951198802,2481.585301696323,133144.88002920023,1138349.6735910831,1841133.0840820614,484579.119572637
JUN,150098.35269964338,65724.88951198802,2481.585301696323,131875.98531937817,1121641.1207207076,1875797.605435889,548549.1820561724
JUL,150145.05369402445,65724.88951198802,2481.585301696323,111144.66272382216,935875.5463672241,1530572.6699282029,411721.2502483955
AUG,170754.63336038156,65724.88951198802,2481.585301696323,112148.93199637071,873786.4917891535,1391384.7441358839,312197.78358951997
SEP,196155.2805047705,65724.88951198802,2481.585301696323,138954.69038613903,1141032.7623305437,1978994.0460182386,580988.3396330026
OCT,223982.36225769235,65724.88951198802,2481.585301696323,140696.37945841896,1032260.653541694,1799321.696486339,478470.32136773894
NOV,246167.2329260725,65724.88951198802,2481.585301696323,127707.09610948825,1030946.7497517908,1737823.29867471,423421.3689733903
DEC,252916.84242553092,65724.88951198802,2481.585301696323,152431.46468636356,1240039.0221179822,2211142.6397635397,641320.4209311844
