,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,258.19010188040284,57.27466374565355,2.481583640324595,148.11896021341346,1018.6031066616334,1728.1839923086561,333.5559164214929
FEB,242.33085376776302,57.274663745653555,2.481583640324595,150.22213449793864,1112.2449496725715,1869.1375023877313,430.09676369927814
MAR,226.69716415085406,57.27466374565355,2.481583640324595,136.40816424103826,985.9540852785633,1626.0797239209944,336.6115447785009
APR,208.29711303927775,57.27466374565355,2.481583640324595,138.35551891383867,974.409586338296,1610.1949619644042,350.7717958086554
MAY,209.31599084086614,57.27466374565355,2.481583640324595,121.4102829827806,906.6524399531793,1463.215815688201,302.9300386130301
JUN,195.18940324347415,57.27466374565355,2.481583640324595,109.98788590432812,803.3664003746062,1318.3229680027237,263.378291004315
JUL,186.4868150743101,57.27466374565355,2.481583640324595,93.94203121293626,648.9325971053564,1042.1995685178313,173.9371532117969
AUG,217.70571271989687,57.27466374565355,2.481583640324595,98.52809273965558,618.7466132066043,1015.3547205585272,148.40850561077784
SEP,237.01300638877075,57.27466374565355,2.481583640324595,108.36678400284825,672.8484780793493,1164.1738142692027,191.99723694861584
OCT,247.1527428813215,57.27466374565355,2.481583640324595,135.81048574710994,905.4683224265424,1632.2646256419603,408.6761254859558
NOV,261.52909299015164,57.27466374565355,2.481583640324595,125.2217464381875,957.7161867543285,1655.3733541154775,393.222849886911
DEC,251.36840416099085,57.27466374565355,2.481583640324595,137.35776021108606,1024.7462759931534,1787.195664739369,429.3183414204455
