,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,68.20664125693196,15.130372600498637,0.655565352319721,39.12890815351929,269.086600041114,456.5381272593077,88.1161925449272
FEB,64.01706915968495,15.130372600498639,0.655565352319721,39.68450828257405,293.82416955430756,493.7741228526715,113.61959832601438
MAR,59.887083341263974,15.130372600498637,0.655565352319721,36.03524168875717,260.46163699006536,429.56502041284676,88.923404539667
APR,55.026301784820596,15.130372600498637,0.655565352319721,36.549678611785424,257.4119015742802,425.3687082679034,92.6641488791585
MAY,55.29546095161849,15.130372600498637,0.655565352319721,32.0732187485056,239.51234871603847,386.54090724339,80.02568773607881
JUN,51.563609554440376,15.130372600498637,0.655565352319721,29.05573924735448,212.22705080152645,348.26424825916445,69.57721647174678
JUL,49.26462789349373,15.130372600498637,0.655565352319721,24.816870883982514,171.4299368114303,275.3201287358123,45.94935640044193
AUG,57.51179204363513,15.130372600498637,0.655565352319721,26.02838074070063,163.45563973429674,268.2284668129812,39.20539799144025
SEP,62.61224184137801,15.130372600498637,0.655565352319721,28.627489229131914,177.74784714980657,307.5423307565634,50.72032803543495
OCT,65.29087810338153,15.130372600498637,0.655565352319721,35.87735165995491,239.19953781137113,431.19889936412704,107.96086169951361
NOV,69.08870980690378,15.130372600498637,0.655565352319721,33.080101346535116,253.00196986702326,437.3035824693963,103.87853624492749
DEC,66.40453852052772,15.130372600498637,0.655565352319721,36.28609852330026,270.70945445622885,472.1273692253597,113.4139608181004
