,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,258190.2747336279,57274.7020899211,2481.585301696323,148119.0593761613,1018603.7885964977,1728185.1492940497,333556.1397306573
FEB,242331.01600353158,57274.702089921106,2481.585301696323,150222.23506872056,1112245.6942988187,1869138.753738744,430097.05164065224
MAR,226697.3159201731,57274.7020899211,2481.585301696323,136408.25556363718,985954.7453555461,1626080.8125495766,336611.7701333487
APR,208297.2524901223,57274.7020899211,2481.585301696323,138355.61154015348,974410.2386864625,1610196.0399584488,350772.0306435144
MAY,209316.13097382948,57274.7020899211,2481.585301696323,121410.36426459125,906653.046939261,1463216.795282581,302930.24141876807
JUN,195189.5339189633,57274.7020899211,2481.585301696323,109987.95953906728,803366.9382127039,1318323.850594175,263378.4673309313
JUL,186486.93992358664,57274.7020899211,2481.585301696323,93942.0941052894,648933.0315530424,1042200.2662500655,173937.26965932015
AUG,217705.858469615,57274.7020899211,2481.585301696323,98528.15870228726,618747.0274453642,1015355.4003186604,148408.6049673707
SEP,237013.16506434444,57274.7020899211,2481.585301696323,108366.85655229136,672848.9285382499,1164174.5936608096,191997.36548701205
OCT,247152.90834525056,57274.7020899211,2481.585301696323,135810.57666957477,905468.9286198807,1632265.7184112133,408676.3990866315
NOV,261529.26807876604,57274.7020899211,2481.585301696323,125221.8302716984,957716.8279265905,1655374.4623555725,393223.1131419207
DEC,251368.57244722272,57274.7020899211,2481.585301696323,137357.8521694209,1024746.9620407493,1787196.8612319233,429318.62884068105
