,Parameters,RMSE,Slope
0,"[ 0.75        0.85695718  0.83802449  0.78150531  0.8433525   1.14537165
  0.92335715  0.88        0.89        0.79536626]",1035.3730405955066,0.938612979487749
1,"[ 0.75        0.85695718  0.83802449  0.78150531  0.8433525   1.14537165
  0.92335715  0.88        0.89        0.79536626]",1035.3730405955066,0.938612979487749
2,"[ 0.76        0.85695718  0.83802449  0.78150531  0.8433525   1.14537165
  0.92335715  0.88        0.89        0.79536626]",1036.683188016298,0.9384018512478773
3,"[ 0.75        0.86695718  0.83802449  0.78150531  0.8433525   1.14537165
  0.92335715  0.88        0.89        0.79536626]",1036.513249764082,0.9384137304251378
4,"[ 0.75        0.85695718  0.84802449  0.78150531  0.8433525   1.14537165
  0.92335715  0.88        0.89        0.79536626]",1035.3730405955066,0.938612979487749
5,"[ 0.75        0.85695718  0.83802449  0.79150531  0.8433525   1.14537165
  0.92335715  0.88        0.89        0.79536626]",1037.2020789552332,0.9383861378130679
6,"[ 0.75        0.85695718  0.83802449  0.78150531  0.8533525   1.14537165
  0.92335715  0.88        0.89        0.79536626]",1036.2649904693092,0.9384662373916945
7,"[ 0.75        0.85695718  0.83802449  0.78150531  0.8433525   1.15537165
  0.92335715  0.88        0.89        0.79536626]",1032.8720362463075,0.9380222777240056
8,"[ 0.75        0.85695718  0.83802449  0.78150531  0.8433525   1.14537165
  0.93335715  0.88        0.89        0.79536626]",1035.7911497862221,0.9384425023817887
9,"[ 0.75        0.85695718  0.83802449  0.78150531  0.8433525   1.14537165
  0.92335715  0.89        0.89        0.79536626]",1035.3730405955066,0.938612979487749
10,"[ 0.75        0.85695718  0.83802449  0.78150531  0.8433525   1.14537165
  0.92335715  0.88        0.9         0.79536626]",1035.3730405955066,0.938612979487749
11,"[ 0.75        0.85695718  0.83802449  0.78150531  0.8433525   1.14537165
  0.92335715  0.88        0.89        0.80536626]",1035.6996474330488,0.9385940453067972
12,"[ 0.74999999  0.85695717  0.83802449  0.7815053   0.8433525   1.14537166
  0.92335715  0.88        0.89        0.79536626]",1031.8335453484467,0.9396632089795621
13,"[ 0.74999999  0.85695717  0.83802449  0.7815053   0.8433525   1.14537166
  0.92335715  0.88        0.89        0.79536626]",1031.8335453484467,0.9396632089795621
14,"[ 0.75999999  0.85695717  0.83802449  0.7815053   0.8433525   1.14537166
  0.92335715  0.88        0.89        0.79536626]",1036.683188016298,0.9384018512478773
15,"[ 0.74999999  0.86695717  0.83802449  0.7815053   0.8433525   1.14537166
  0.92335715  0.88        0.89        0.79536626]",1032.9615245818718,0.9394641629601976
16,"[ 0.74999999  0.85695717  0.84802449  0.7815053   0.8433525   1.14537166
  0.92335715  0.88        0.89        0.79536626]",1031.8335453484467,0.9396632089795621
17,"[ 0.74999999  0.85695717  0.83802449  0.7915053   0.8433525   1.14537166
  0.92335715  0.88        0.89        0.79536626]",1033.6610500484164,0.9394363141034904
18,"[ 0.74999999  0.85695717  0.83802449  0.7815053   0.8533525   1.14537166
  0.92335715  0.88        0.89        0.79536626]",1032.7161913868583,0.9395164668852815
19,"[ 0.74999999  0.85695717  0.83802449  0.7815053   0.8433525   1.15537166
  0.92335715  0.88        0.89        0.79536626]",1029.2363595329668,0.93907313923506
20,"[ 0.74999999  0.85695717  0.83802449  0.7815053   0.8433525   1.14537166
  0.93335715  0.88        0.89        0.79536626]",1032.2262352170249,0.9394927318710238
21,"[ 0.74999999  0.85695717  0.83802449  0.7815053   0.8433525   1.14537166
  0.92335715  0.89        0.89        0.79536626]",1031.8335453484467,0.9396632089795621
22,"[ 0.74999999  0.85695717  0.83802449  0.7815053   0.8433525   1.14537166
  0.92335715  0.88        0.9         0.79536626]",1031.8335453484467,0.9396632089795621
23,"[ 0.74999999  0.85695717  0.83802449  0.7815053   0.8433525   1.14537166
  0.92335715  0.88        0.89        0.80536626]",1032.1608378330732,0.9396442747986106
24,"[ 0.7         0.81344264  0.83802449  0.71170254  0.80931244  1.24081909
  0.90740058  0.88        0.89        0.78290175]",1884.647780388991,0.8391505407733858
25,"[ 0.7         0.81344264  0.83802449  0.71170254  0.80931244  1.24081909
  0.90740058  0.88        0.89        0.78290175]",1884.647780388991,0.8391505407733858
26,"[ 0.71        0.81344264  0.83802449  0.71170254  0.80931244  1.24081909
  0.90740058  0.88        0.89        0.78290175]",1893.6078411568974,0.8380046429604288
27,"[ 0.7         0.82344264  0.83802449  0.71170254  0.80931244  1.24081909
  0.90740058  0.88        0.89        0.78290175]",1886.519007088141,0.8389685242279749
28,"[ 0.7         0.81344264  0.84802449  0.71170254  0.80931244  1.24081909
  0.90740058  0.88        0.89        0.78290175]",1884.647780388991,0.8391505407733858
29,"[ 0.7         0.81344264  0.83802449  0.72170254  0.80931244  1.24081909
  0.90740058  0.88        0.89        0.78290175]",1886.9888771976384,0.8389527707942871
30,"[ 0.7         0.81344264  0.83802449  0.71170254  0.81931244  1.24081909
  0.90740058  0.88        0.89        0.78290175]",1886.0420090435437,0.8390194833219117
31,"[ 0.7         0.81344264  0.83802449  0.71170254  0.80931244  1.25081909
  0.90740058  0.88        0.89        0.78290175]",2136.2721890257385,0.8181174932919578
32,"[ 0.7         0.81344264  0.83802449  0.71170254  0.80931244  1.24081909
  0.91740058  0.88        0.89        0.78290175]",1889.9881835723816,0.8387748619947845
33,"[ 0.7         0.81344264  0.83802449  0.71170254  0.80931244  1.24081909
  0.90740058  0.89        0.89        0.78290175]",1884.647780388991,0.8391505407733858
34,"[ 0.7         0.81344264  0.83802449  0.71170254  0.80931244  1.24081909
  0.90740058  0.88        0.9         0.78290175]",1884.647780388991,0.8391505407733858
35,"[ 0.7         0.81344264  0.83802449  0.71170254  0.80931244  1.24081909
  0.90740058  0.88        0.89        0.79290175]",1885.0737687361552,0.8391323457436188
36,"[ 0.725       0.83519991  0.83802449  0.74660393  0.82633247  1.19309537
  0.91537886  0.88        0.89        0.78913401]",1310.4036184336694,0.8934012155634428
37,"[ 0.725       0.83519991  0.83802449  0.74660393  0.82633247  1.19309537
  0.91537886  0.88        0.89        0.78913401]",1310.4036184336694,0.8934012155634428
38,"[ 0.735       0.83519991  0.83802449  0.74660393  0.82633247  1.19309537
  0.91537886  0.88        0.89        0.78913401]",1312.2879250779488,0.8932029529391148
39,"[ 0.725       0.84519991  0.83802449  0.74660393  0.82633247  1.19309537
  0.91537886  0.88        0.89        0.78913401]",1311.2595573397139,0.8933172772899697
40,"[ 0.725       0.83519991  0.84802449  0.74660393  0.82633247  1.19309537
  0.91537886  0.88        0.89        0.78913401]",1310.4036184336694,0.8934012155634428
41,"[ 0.725       0.83519991  0.83802449  0.75660393  0.82633247  1.19309537
  0.91537886  0.88        0.89        0.78913401]",1312.737210400445,0.8931929375170649
42,"[ 0.725       0.83519991  0.83802449  0.74660393  0.83633247  1.19309537
  0.91537886  0.88        0.89        0.78913401]",1311.7029416204073,0.8932653988431228
43,"[ 0.725       0.83519991  0.83802449  0.74660393  0.82633247  1.20309537
  0.91537886  0.88        0.89        0.78913401]",1482.6661769511163,0.8752214017785347
44,"[ 0.725       0.83519991  0.83802449  0.74660393  0.82633247  1.19309537
  0.92537886  0.88        0.89        0.78913401]",1315.582945191935,0.8929236858968574
45,"[ 0.725       0.83519991  0.83802449  0.74660393  0.82633247  1.19309537
  0.91537886  0.89        0.89        0.78913401]",1310.4036184336694,0.8934012155634428
46,"[ 0.725       0.83519991  0.83802449  0.74660393  0.82633247  1.19309537
  0.91537886  0.88        0.9         0.78913401]",1310.4036184336694,0.8934012155634428
47,"[ 0.725       0.83519991  0.83802449  0.74660393  0.82633247  1.19309537
  0.91537886  0.88        0.89        0.79913401]",1310.4036184336694,0.8934012155634428
48,"[ 0.7375      0.84607855  0.83802449  0.76405462  0.83484249  1.16923351
  0.91936801  0.88        0.89        0.79225013]",1085.2927235114244,0.9244440693171003
49,"[ 0.7375      0.84607855  0.83802449  0.76405462  0.83484249  1.16923351
  0.91936801  0.88        0.89        0.79225013]",1085.2927235114244,0.9244440693171003
50,"[ 0.7475      0.84607855  0.83802449  0.76405462  0.83484249  1.16923351
  0.91936801  0.88        0.89        0.79225013]",1086.8635353665911,0.9242396519545956
51,"[ 0.7375      0.85607855  0.83802449  0.76405462  0.83484249  1.16923351
  0.91936801  0.88        0.89        0.79225013]",1085.9803528957448,0.9243348386544477
52,"[ 0.7375      0.84607855  0.84802449  0.76405462  0.83484249  1.16923351
  0.91936801  0.88        0.89        0.79225013]",1085.2927235114244,0.9244440693171003
53,"[ 0.7375      0.84607855  0.83802449  0.77405462  0.83484249  1.16923351
  0.91936801  0.88        0.89        0.79225013]",1087.4024105166457,0.9242225810697104
54,"[ 0.7375      0.84607855  0.83802449  0.76405462  0.84484249  1.16923351
  0.91936801  0.88        0.89        0.79225013]",1086.3644230490956,0.9243024520213008
55,"[ 0.7375      0.84607855  0.83802449  0.76405462  0.83484249  1.17923351
  0.91936801  0.88        0.89        0.79225013]",1186.6711301169162,0.90864956790949
56,"[ 0.7375      0.84607855  0.83802449  0.76405462  0.83484249  1.16923351
  0.92936801  0.88        0.89        0.79225013]",1088.416242889184,0.9241350997180835
57,"[ 0.7375      0.84607855  0.83802449  0.76405462  0.83484249  1.16923351
  0.91936801  0.89        0.89        0.79225013]",1085.2927235114244,0.9244440693171003
58,"[ 0.7375      0.84607855  0.83802449  0.76405462  0.83484249  1.16923351
  0.91936801  0.88        0.9         0.79225013]",1085.2927235114244,0.9244440693171003
59,"[ 0.7375      0.84607855  0.83802449  0.76405462  0.83484249  1.16923351
  0.91936801  0.88        0.89        0.80225013]",1085.6681803307179,0.9244252118308568
60,"[ 0.74375     0.85151786  0.83802449  0.77277996  0.83909749  1.15730258
  0.92136258  0.88        0.89        0.7938082 ]",1086.230230812917,0.9249468363465285
61,"[ 0.74375     0.85151786  0.83802449  0.77277996  0.83909749  1.15730258
  0.92136258  0.88        0.89        0.7938082 ]",1086.230230812917,0.9249468363465285
62,"[ 0.75375     0.85151786  0.83802449  0.77277996  0.83909749  1.15730258
  0.92136258  0.88        0.89        0.7938082 ]",1092.6474908658242,0.9236913543878474
63,"[ 0.74375     0.86151786  0.83802449  0.77277996  0.83909749  1.15730258
  0.92136258  0.88        0.89        0.7938082 ]",1086.9574002661718,0.9248601983862861
64,"[ 0.74375     0.85151786  0.84802449  0.77277996  0.83909749  1.15730258
  0.92136258  0.88        0.89        0.7938082 ]",1086.230230812917,0.9249468363465285
65,"[ 0.74375     0.85151786  0.83802449  0.78277996  0.83909749  1.15730258
  0.92136258  0.88        0.89        0.7938082 ]",1088.3286980340235,0.924724269723598
66,"[ 0.74375     0.85151786  0.83802449  0.77277996  0.84909749  1.15730258
  0.92136258  0.88        0.89        0.7938082 ]",1087.2938723941422,0.9248052190479278
67,"[ 0.74375     0.85151786  0.83802449  0.77277996  0.83909749  1.16730258
  0.92136258  0.88        0.89        0.7938082 ]",1085.9786634045327,0.9243360699648491
68,"[ 0.74375     0.85151786  0.83802449  0.77277996  0.83909749  1.15730258
  0.93136258  0.88        0.89        0.7938082 ]",1089.3174739756116,0.9246378667465401
69,"[ 0.74375     0.85151786  0.83802449  0.77277996  0.83909749  1.15730258
  0.92136258  0.89        0.89        0.7938082 ]",1086.230230812917,0.9249468363465285
70,"[ 0.74375     0.85151786  0.83802449  0.77277996  0.83909749  1.15730258
  0.92136258  0.88        0.9         0.7938082 ]",1086.230230812917,0.9249468363465285
71,"[ 0.74375     0.85151786  0.83802449  0.77277996  0.83909749  1.15730258
  0.92136258  0.88        0.89        0.8038082 ]",1086.6047023154838,0.9249279788602847
72,"[ 0.746875    0.85423752  0.83802449  0.77714264  0.841225    1.15133712
  0.92235986  0.88        0.89        0.79458723]",1026.97413997257,0.9393819531366356
73,"[ 0.746875    0.85423752  0.83802449  0.77714264  0.841225    1.15133712
  0.92235986  0.88        0.89        0.79458723]",1026.97413997257,0.9393819531366356
74,"[ 0.756875    0.85423752  0.83802449  0.77714264  0.841225    1.15133712
  0.92235986  0.88        0.89        0.79458723]",1031.9408340724335,0.9381199633882876
75,"[ 0.746875    0.86423752  0.83802449  0.77714264  0.841225    1.15133712
  0.92235986  0.88        0.89        0.79458723]",1028.1186089484156,0.9391828997200233
76,"[ 0.746875    0.85423752  0.84802449  0.77714264  0.841225    1.15133712
  0.92235986  0.88        0.89        0.79458723]",1026.97413997257,0.9393819531366356
