,Parameters,RMSE,Slope
0,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.774179920673,0.9805900552116668
1,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.774179920673,0.9805900552116668
2,"[ 0.76        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.914593819169,0.9803787229116165
3,"[ 0.75        0.86700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.8228671819036,0.9803908135432681
4,"[ 0.75        0.85700061  0.84802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.774179920673,0.9805900552116668
5,"[ 0.75        0.85700061  0.83802449  0.79193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1061.25904135018,0.9803640549725736
6,"[ 0.75        0.85700061  0.83802449  0.78193782  0.85340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.8299239394223,0.9804433131125437
7,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.12049553
  0.92280977  0.88        0.89        0.79547709]",1021.6761789385557,0.9675199522300021
8,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.93280977  0.88        0.89        0.79547709]",1060.160541172249,0.9801905319788743
9,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.89        0.89        0.79547709]",1060.774179920673,0.9805900552116668
10,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.9         0.79547709]",1060.774179920673,0.9805900552116668
11,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.80547709]",1060.898431736115,0.9805711977254233
12,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049554
  0.92280977  0.88        0.89        0.79547709]",1060.774179920673,0.9805900552116668
13,"[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049554
  0.92280977  0.88        0.89        0.79547709]",1060.774179920673,0.9805900552116668
14,"[ 0.76        0.85700061  0.83802449  0.78193782  0.84340222  1.11049554
  0.92280977  0.88        0.89        0.79547709]",1060.914593819169,0.9803787229116165
15,"[ 0.75        0.86700061  0.83802449  0.78193782  0.84340222  1.11049554
  0.92280977  0.88        0.89        0.79547709]",1060.8228671819036,0.9803908135432681
16,"[ 0.75        0.85700061  0.84802449  0.78193782  0.84340222  1.11049554
  0.92280977  0.88        0.89        0.79547709]",1060.774179920673,0.9805900552116668
17,"[ 0.75        0.85700061  0.83802449  0.79193782  0.84340222  1.11049554
  0.92280977  0.88        0.89        0.79547709]",1061.25904135018,0.9803640549725736
