,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,235034.14293533706,53833.39775333484,1388.3942986791953,155398.8978576137,950925.4560306732,1580919.771484442,255765.7802143955
FEB,226722.38115702244,53833.39775333484,1388.3942986791953,149143.45025582472,919356.2548032505,1503402.7895956635,258088.7821749612
MAR,210485.38955039918,53833.39775333484,1388.3942986791953,151353.71965750845,1043134.4375754239,1713825.7202604164,359438.5764712578
APR,180070.7955415657,53833.39775333483,1388.3942986791953,140714.84180627254,844114.5722667553,1364620.9874650324,248186.80201903268
MAY,148985.151867059,53833.39775333484,1388.3942986791953,125566.26909938942,896358.1667997118,1335202.1119490815,219351.0345448902
JUN,132134.280660669,53833.39775333483,1388.3942986791953,131754.39361444177,990677.9821451245,1581419.9233696742,376392.34066355287
JUL,133898.96943217053,53833.39775333484,1388.3942986791953,109693.38747494099,784555.0407465945,1225496.0102819714,253110.8969236332
AUG,151806.96231877815,53833.39775333484,1388.3942986791953,114192.10334214228,751817.0760943594,1162046.0536575927,200295.7866164592
SEP,173849.18713020583,53833.39775333483,1388.3942986791953,121734.41503316567,800174.1304003027,1267579.326692951,216245.4251977158
OCT,198243.20463644908,53833.39775333484,1388.3942986791953,145825.92494397511,928319.9714189309,1575094.9510229328,357827.0096077162
NOV,217480.58303437062,53833.39775333483,1388.3942986791953,128720.6663487969,887297.9615612546,1460003.5474948345,294463.0355729778
DEC,223132.10587657936,53833.39775333484,1388.3942986791953,144145.11384586786,973619.7475068516,1640512.5925874393,344559.5367461915
