,SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
0,Fagatuitui - Vaaogeoge,4718.500588947847,0.0,0.0,5219.268545850576,16572.445733576416,28516.336627376004,2289.6986615355468
1,Vatia,5036.948738530209,490.64797293263695,15.65753424657849,4701.860105617142,16531.24029102955,27655.923685925864,1803.51830380958
2,Tula,2099.1116706907087,522.4954032633326,14.613698630191788,1143.975989388931,3487.04421525961,6614.5062750597945,296.80074233724827
3,Onenoa,1111.2413010033026,145.88298849338813,2.087671232876016,735.8014651491658,2010.7631639369392,3849.681442178531,112.99346547525116
4,Afono,3685.6356877135545,336.362108066699,15.657534246564326,2555.1286611857745,12381.381351954926,19778.129167357038,1452.619039735677
5,Masefau,3885.5980568149857,792.5339382243474,5.219178082186562,3013.595171574085,12097.889524386424,19551.66554275619,1367.8648069266262
6,Aoa,2687.455695717922,314.43634260787684,5.219178082185031,1533.624175939953,5048.921538332062,9319.73666359427,321.48571174582486
7,Masausi,1740.8516280051435,450.5994876966617,3.131506849315538,1460.8479430533864,4546.439943203629,7655.732360852437,339.9337690053337
8,Sailele,675.7652607205429,200.684358480486,6.26301369864997,468.42819459446343,1597.7417669367542,2688.2959683568965,100.9006309322516
9,Alao,1845.4143857206438,475.45668270124764,7.30684931507058,1010.1301658365808,3294.8305913584104,5973.065775376842,255.82149450982845
10,Pago Pago Harbor,12760.526794643192,4639.5257428862615,230.68767123274313,7265.160274271947,39774.48807769805,62290.18233325551,4602.594828259234
11,Fagaitua,5584.6579894002225,1462.8416777526097,19.832876712341797,4482.712043979261,15760.505143404022,25835.795935874343,1201.6635601734229
12,Auasi,1159.4282345886375,249.02090578866995,1.0438356164386693,679.7875078516581,2093.6698041965487,3850.74269403348,108.2596712646476
13,Amouli,2407.022301349943,741.4312276771657,6.2630136986246745,1465.4095080636612,4783.122722275651,8312.752033308841,269.06081007802317
14,Alega,1258.8379159021922,222.35960632646865,0.0,1145.820091748819,4685.035221751676,7417.395135968154,535.5363833280942
15,Laulii - Aumi,3326.08129072567,524.1759711545029,10.438356164390818,2007.4837837036346,9381.218608711804,15364.526372192126,1026.3931206761197
16,Fagasa,3508.649884807134,448.8788878106166,13.569863013702964,2601.133971377764,13524.809333252033,21682.537769081915,2450.8129484359943
17,Aasu,9439.57945627015,588.469286422875,13.569863013715159,8539.285137389597,38998.05354765865,62107.489068246694,6102.804090475458
18,Fagaalu,2711.7631515575254,591.5642660267159,28.183561643915816,2016.2363383824945,10116.63037355781,16214.864104292059,1610.9636793332857
19,Aoloau Sisifo,1651.419275814346,0.0,0.0,1739.980016126341,5612.484909547276,9640.014823095107,747.0870697330605
20,Aoloau Sasae,5597.398000592376,69.07930048707418,1.0438356164391878,5664.610582098866,23027.953133028106,37424.038402135535,3569.5263701838294
21,Fagamalo,2281.280123104791,185.19209958294468,0.0,2234.5876268051748,7466.093400277096,12519.39211282404,773.1968763674455
22,Matuu - Faganeanea,2637.435092743038,468.05067366024673,21.920547945273675,2449.546428586462,10783.507378575981,17224.08433598983,1564.9305336836903
23,Nuuuli Pala,28506.333004705913,8231.423234410307,416.4904109588578,11295.380037551316,71040.75724029075,116355.9577204801,9942.816070494046
24,Maloata,3015.942066432133,279.63661051978784,1.043835616438579,3306.763368219808,12180.721343902864,20174.994017466175,2089.457932065197
25,Fagalii,2511.475451677691,563.6190528838165,3.1315068493207407,2365.2532179610216,8110.501828658665,13622.869019539636,1265.377549947741
26,Afao - Asili,3006.2535323301804,163.57252212905954,3.131506849318722,3274.322704251888,13083.310366078993,21628.703816532216,2364.9105023510515
27,Leone,28762.3789354793,5356.057937927375,89.76986301373744,10611.192711181999,64700.83198184522,107587.19468249915,8262.174653560627
28,Poloa,1311.3967772228596,424.59753966373415,2.087671232873233,1275.6001719522671,4233.231839690904,6990.575908721438,596.9191363874006
29,Nua - Seetaga,3707.9685489364665,390.01004142174105,9.39452054795178,3750.009027081987,13244.455966743384,22475.141464239157,2060.3557824178442
30,Tafuna Plain,38256.53358832007,8216.955700877994,389.3506849314642,3892.675269283914,47214.021031039556,88114.3569810007,3540.8295878931135
31,Amanave,1438.5029058408945,231.7001938847422,11.482191780845577,1184.4768093507653,3900.2326321002324,6831.312595834543,444.41127229385063
32,Fagatele - Larsen,4997.730091025442,384.0219102690543,2.0876712328768168,3168.592602829816,8769.32564386902,17898.21620993855,1377.6072729932757
