,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,267807.12206578866,72238.03317724029,5912.410882730037,154192.1093145086,1126862.1767398608,1938229.024857733,442507.79884198424
FEB,260343.3591703986,72238.03317724029,5912.410882730037,137171.99853221182,932403.6236884138,1551605.594737913,303037.2376874104
MAR,239059.8217340614,72238.03317724029,5912.410882730037,120424.54423068083,783902.7281656711,1248893.0736439822,174474.03473358913
APR,206534.3674131393,72238.03317724027,5912.410882730037,128661.564387488,880873.7586634711,1403196.7927086353,257897.52218577632
MAY,169148.6477395596,72238.03317724029,5912.410882730037,132327.53769408053,1122001.4101148243,1841133.0840820614,513973.6942359322
JUN,150675.64661230255,72238.03317724027,5912.410882730037,130888.8178023728,1105693.3404881065,1875797.605435889,577742.7587295525
JUL,150610.70758678534,72238.03317724029,5912.410882730037,110476.0379024284,924902.6218539467,1530572.6699282029,435112.3379209326
AUG,171430.58302783238,72238.03317724029,5912.410882730037,111238.87356061509,865784.3409529045,1391384.7441358839,332152.71552328725
SEP,197094.54120083374,72238.03317724027,5912.410882730037,138084.93640277832,1123296.3431236139,1978994.0460182386,611182.9909021407
OCT,224844.89290007012,72238.03317724029,5912.410882730037,139690.51174854962,1017495.2564330661,1799321.696486339,505836.6479307557
NOV,246989.2394683514,72238.03317724027,5912.410882730037,126843.5680563539,1018465.3112926208,1737823.29867471,447781.33675622416
DEC,254049.03276039805,72238.03317724029,5912.410882730037,151441.63943376712,1215731.046175385,2211142.6397635397,679284.8725570189
