OID,gage_name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,9120-Afono,1,152,1520000.000000000000000,17.079999923700001,179.110000609999986,162.030000687000012,47.616184109099997,23.355010711599999,7237.659984590000022
1,Fagaitua,2,70,700000.000000000000000,6.409999847410000,34.810001373299997,28.400001525899999,19.722142839400000,4.767017069320000,1380.549998760000108
2,9060,3,47,470000.000000000000000,5.500000000000000,24.079999923700001,18.579999923700001,11.881489307300001,2.531269049600000,558.429997444000037
3,9639,4,36,360000.000000000000000,2.720000028610000,20.030000686600001,17.310000658000000,8.852500054569999,2.908661821460000,318.690001965000022
4,9600,5,45,450000.000000000000000,37.169998168900001,145.729995728000006,108.559997558999996,49.227777693000000,19.072948273900000,2215.249996189999820
5,Vaipito,6,232,2320000.000000000000000,23.049999237100000,251.750000000000000,228.700000762999991,60.350258679200003,25.135469425699998,14001.260013600000093
6,Fagaalu,7,189,1890000.000000000000000,17.819999694800000,131.570007323999988,113.750007628999995,60.256296420200002,19.154893468400001,11388.440023400000428
7,9175-Fagasa,8,57,570000.000000000000000,25.409999847400002,133.970001220999990,108.560001373000006,62.649123108200001,23.359702223100001,3571.000017169999865
8,9480,9,71,710000.000000000000000,17.239999771099999,126.059997558999996,108.819997787000005,56.230422516899999,17.698789684000001,3992.359998699999778
9,9442-Nuuuli,10,198,1980000.000000000000000,20.049999237100000,183.320007323999988,163.270008087000008,69.267979814499995,20.111857698500000,13715.060003299999153
10,9205,11,277,2770000.000000000000000,15.789999961900000,163.589996337999992,147.799996375999996,49.452382535300003,21.797930012799998,13698.309962299999825
11,9250-Maloata,12,211,2110000.000000000000000,18.729999542200002,198.660003662000008,179.930004120000007,55.630284368100000,22.949431708399999,11737.990001699999993
12,9335-Leone,13,254,2540000.000000000000000,17.520000457799998,202.419998168999996,184.899997710999997,51.812637802200001,21.830470652900001,13160.410001800000828
13,9310,14,63,630000.000000000000000,5.719999790190000,47.930000305199997,42.210000514999997,28.637460458800000,14.122627016099999,1804.160008909999988
14,9315,15,77,770000.000000000000000,30.420000076299999,139.630004882999998,109.210004807000004,51.495194843800000,17.657945849800001,3965.130002979999972
