OID,gage_name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,9120-Afono,1,152,1520000.000000000000000,94.410003662099996,158.479995728000006,64.069992065400001,107.369999935999999,15.271528633100001,16320.239990199999738
1,Fagaitua,2,70,700000.000000000000000,73.059997558600003,113.069999695000007,40.010002136200001,80.042571694499998,5.821026546260000,5602.980018620000010
2,9060,3,47,470000.000000000000000,50.130001068100000,63.630001068100000,13.500000000000000,54.352978564300003,1.890258279130000,2554.589992520000123
3,9639,4,36,360000.000000000000000,40.909999847400002,72.010002136200001,31.100002288799999,50.669999970299997,4.610742091900000,1824.119998930000065
4,9600,5,45,450000.000000000000000,92.269996643100001,112.870002747000001,20.600006103500000,96.724444580099998,4.150902586060000,4352.600006100000428
5,Vaipito,6,232,2320000.000000000000000,54.150001525900002,164.520004271999994,110.370002747000001,112.286724188999997,16.849664221400001,26050.520011900000100
6,Fagaalu,7,189,1890000.000000000000000,28.219999313399999,160.000000000000000,131.780000687000012,106.633227564999999,15.128022366000000,20153.680009799998516
7,9175-Fagasa,8,57,570000.000000000000000,66.910003662099996,161.190002440999990,94.279998779300001,113.746841297000003,17.300638474700001,6483.569953920000444
8,9480,9,71,710000.000000000000000,89.750000000000000,142.669998168999996,52.919998168900001,105.257041931000003,9.394630208650000,7473.249977110000145
9,9442-Nuuuli,10,198,1980000.000000000000000,92.650001525899995,150.289993285999998,57.639991760299999,107.269545429999994,8.648787835480000,21239.369995100001688
10,9205,11,277,2770000.000000000000000,66.559997558600003,179.339996337999992,112.779998778999996,121.554043215999997,22.880422572299999,33670.469970700003614
11,9250-Maloata,12,211,2110000.000000000000000,95.279998779300001,151.759994506999988,56.479995727499997,111.206350607000005,11.583690196999999,23464.539978000000701
12,9335-Leone,13,254,2540000.000000000000000,91.599998474100005,171.710006714000002,80.110008239699994,117.332243852000005,18.391101932600002,29802.389938399999664
13,9310,14,63,630000.000000000000000,77.489997863799999,114.970001221000004,37.480003356899999,97.111587282200006,9.313061863750001,6118.029998779999914
14,9315,15,77,770000.000000000000000,103.970001221000004,160.869995117000002,56.899993896500000,120.611168899000006,16.275466526599999,9287.060005190000084
