Index, Month, Rain_Zone, Year, Random Number, Fragment_Set,fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment
    1,    1,    1,    1,  0.981668,   10,   0.006,   0.000,   0.006,   0.033,   0.000,   0.000,   0.100,   0.000,   0.106,   0.000,   0.006,   0.006,   0.000,   0.017,   0.033,   0.000,   0.094,   0.011,   0.000,   0.044,   0.017,   0.006,   0.011,   0.006,   0.028,   0.122,   0.183,   0.000,   0.011,   0.061,   0.094
    2,    1,    2,    1,  0.116498,   10,   0.000,   0.000,   0.043,   0.000,   0.000,   0.001,   0.162,   0.113,   0.151,   0.007,   0.000,   0.000,   0.071,   0.000,   0.004,   0.017,   0.007,   0.000,   0.000,   0.000,   0.143,   0.097,   0.078,   0.015,   0.024,   0.030,   0.003,   0.000,   0.028,   0.009,   0.000
    3,    1,    3,    1,  0.559623,   10,   0.005,   0.000,   0.005,   0.000,   0.000,   0.036,   0.089,   0.000,   0.010,   0.000,   0.036,   0.000,   0.000,   0.000,   0.000,   0.000,   0.099,   0.016,   0.073,   0.167,   0.167,   0.151,   0.005,   0.000,   0.021,   0.005,   0.005,   0.073,   0.016,   0.005,   0.016
    4,    1,    4,    1,  0.766911,   10,   0.000,   0.050,   0.000,   0.110,   0.018,   0.000,   0.000,   0.136,   0.000,   0.000,   0.036,   0.112,   0.000,   0.000,   0.000,   0.250,   0.000,   0.000,   0.068,   0.000,   0.000,   0.017,   0.201,   0.000,   0.000,   0.000,   0.000,   0.000,   0.004,   0.000,   0.000
    5,    1,    5,    1,  0.058629,   10,   0.034,   0.001,   0.001,   0.036,   0.072,   0.048,   0.019,   0.068,   0.154,   0.024,   0.000,   0.000,   0.025,   0.009,   0.003,   0.041,   0.008,   0.182,   0.001,   0.001,   0.104,   0.027,   0.093,   0.001,   0.000,   0.007,   0.027,   0.000,   0.008,   0.006,   0.001
    6,    1,    6,    1,  0.139265,   10,   0.017,   0.001,   0.088,   0.044,   0.000,   0.049,   0.010,   0.000,   0.014,   0.003,   0.008,   0.011,   0.063,   0.081,   0.013,   0.054,   0.031,   0.000,   0.038,   0.035,   0.003,   0.133,   0.017,   0.018,   0.029,   0.022,   0.012,   0.004,   0.053,   0.118,   0.034
    7,    1,    7,    1,  0.760452,   10,   0.088,   0.070,   0.000,   0.082,   0.018,   0.064,   0.047,   0.006,   0.000,   0.035,   0.076,   0.029,   0.018,   0.018,   0.000,   0.012,   0.012,   0.152,   0.000,   0.012,   0.041,   0.006,   0.000,   0.006,   0.000,   0.000,   0.058,   0.000,   0.029,   0.123,   0.000
    8,    1,    8,    1,  0.067308,   10,   0.000,   0.000,   0.000,   0.215,   0.000,   0.047,   0.142,   0.000,   0.000,   0.000,   0.109,   0.133,   0.000,   0.000,   0.000,   0.000,   0.000,   0.132,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.159,   0.000,   0.011,   0.004,   0.000,   0.000,   0.047
    9,    1,    9,    1,  0.914249,   10,   0.033,   0.066,   0.107,   0.074,   0.182,   0.025,   0.016,   0.041,   0.000,   0.000,   0.000,   0.000,   0.000,   0.008,   0.008,   0.016,   0.215,   0.025,   0.008,   0.016,   0.000,   0.050,   0.000,   0.058,   0.016,   0.000,   0.000,   0.000,   0.000,   0.000,   0.033
   10,    1,   10,    1,  0.898187,   10,   0.006,   0.064,   0.014,   0.000,   0.029,   0.012,   0.035,   0.012,   0.087,   0.009,   0.020,   0.078,   0.058,   0.003,   0.000,   0.014,   0.000,   0.009,   0.029,   0.049,   0.000,   0.006,   0.017,   0.049,   0.023,   0.017,   0.012,   0.020,   0.046,   0.069,   0.214
