,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,291486.7828372161,71338.33634553291,7225.700456011109,125716.55119887598,882909.0309859887,1463457.8018711165,207407.04412009788
FEB,283518.6483328123,71338.33634553291,7225.700456011109,117692.27196027055,760923.253808287,1260818.9823164719,177127.23462812116
MAR,261492.5242998645,71338.33634553291,7225.700456011109,121238.77779035922,941058.8205760622,1535626.7710342642,281744.24791769753
APR,223308.92479563842,71338.33634553291,7225.700456011109,123928.88706969745,946988.606578736,1531522.715361555,313065.42279477435
MAY,181795.41292268655,71338.33634553291,7225.700456011109,123030.68931171864,1127793.5747570028,1850225.5123022262,514393.36553453235
JUN,159969.96900137284,71338.33634553291,7225.700456011109,129223.63669738315,1209212.8682298867,2110978.721241132,709833.7331789099
JUL,159734.95968902082,71338.33634553291,7225.700456011109,94614.19972826293,828239.2542392658,1279693.2375549306,280842.0467821495
AUG,182181.0888270942,71338.33634553291,7225.700456011109,105082.85530148048,928842.5343558448,1512920.6900763835,386947.82984839263
SEP,212218.0790232354,71338.33634553291,7225.700456011109,113848.83886946314,964011.73739785,1591292.8920013723,380250.8104327188
OCT,244008.4645158125,71338.33634553291,7225.700456011109,131100.95252003553,1044021.8480686484,1854704.3155937162,525818.5030762716
NOV,266275.06396354706,71338.33634553291,7225.700456011109,118572.60559568537,1041625.8992374238,1787014.5891335497,465944.1127658055
DEC,272858.88798870303,71338.33634553291,7225.700456011109,115647.96834057198,901080.340415244,1514309.1008608134,296715.3894417352
