,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,259054.0811522903,63457.44707165518,5912.410882730037,147399.00102086115,1010410.6332943067,1728185.1492940497,353205.3131579938
FEB,243080.4605766891,63457.44707165519,5912.410882730037,149435.5538182327,1100012.5345274874,1869138.753738744,454270.55026034237
MAR,227467.37338189085,63457.44707165518,5912.410882730037,135566.20228881278,978067.9248608581,1626080.8125495766,355919.1650539622
APR,209150.69973910614,63457.44707165518,5912.410882730037,137598.9438686781,967576.6546566039,1610196.0399584488,368878.89333968784
MAY,209881.05922264245,63457.44707165518,5912.410882730037,120781.31023788381,900840.1616630566,1463216.795282581,319943.5407932442
JUN,196695.4214659652,63457.44707165518,5912.410882730037,109278.17325035112,799422.5973910057,1318323.850594175,277634.93578305753
JUL,188521.5316358741,63457.44707165518,5912.410882730037,93520.67138505465,648328.9302876905,1042200.2662500655,183701.92336359227
AUG,219371.745259789,63457.44707165518,5912.410882730037,97807.63935256597,618084.5332960684,1015355.4003186604,158361.1673992111
SEP,238881.2390763548,63457.44707165518,5912.410882730037,107794.23235240731,672735.0436207316,1164174.5936608096,201342.37854970506
OCT,248486.34497668085,63457.44707165518,5912.410882730037,134970.30846998707,897074.6409103443,1632265.7184112133,428006.18884271744
NOV,262864.0097488065,63457.44707165518,5912.410882730037,124461.50600092132,948782.6145621879,1655374.4623555725,412820.23080665985
DEC,252907.7741454618,63457.44707165518,5912.410882730037,136581.53265339154,1013112.3170870201,1787196.8612319233,452506.69186441944
