,SHED_NAME,actual_et_x,actual_et_y,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration_x,net_infiltration_y,net_infiltration,rainfall,runoff_x,runoff_y,runoff
0,Fagatuitui - Vaaogeoge,4288.250685514942,4288.250685514942,4288.285482157677,0.0,0.0,6660.283614529945,33372.52416829613,33372.52416829613,30828.439326853208,54627.34856931183,12055.013996214024,12055.013996214024,15076.138670822187
1,Vatia,4995.880758596126,4995.880758596126,5123.653193386547,518.633197745493,37.57808219180866,5954.984768891962,32858.12897255992,32858.12897255992,31607.5442759428,54504.86487006518,12939.435019805764,12939.435019805764,14174.88407143521
2,Tula,2294.830840565638,2294.830840565638,2308.574676176788,503.0174151402864,12.526027397247747,1123.313258309098,4947.425919641195,4947.425919641195,5063.973630743273,8937.536282887097,1209.5479967234694,1209.5479967234694,958.1506304724611
3,Onenoa,1188.7339218073623,1188.7339218073623,1196.4513439212083,153.3881607449873,8.350684931498499,836.5924948491446,3262.174198736803,3262.174198736803,3228.799284642787,5584.826725499939,502.3772037077916,502.3772037077916,554.8751750230506
4,Afono,3812.2894859802723,3812.2894859802723,3843.500175153579,377.56925309312123,12.52602739725749,3124.582739854767,22888.71247235076,22888.71247235076,22461.073845597788,36581.07306832956,8307.115240406316,8307.115240406316,8783.570508901661
5,Masefau,3884.209771498323,3884.209771498323,3886.513165741216,795.7228342843923,4.175342465761775,3553.5922211488437,21446.333389626412,21446.333389626412,20392.95018773352,33511.55606914389,6123.967818224746,6123.967818224746,7331.483810714695
6,Aoa,2689.2058645691527,2689.2058645691527,2720.388717492412,366.69944897635617,8.35068493150184,1824.8473455774968,8239.064099239898,8239.064099239898,8049.232150731721,13887.460411383867,1671.2225811027681,1671.2225811027681,1800.150193548105
7,Masausi,1776.3855344591002,1776.3855344591002,1782.3284445166732,470.7698521458807,8.350684931505945,1605.920222020377,7070.9285277991785,7070.9285277991785,7081.151202109964,11444.30747331714,1618.9890414258816,1618.9890414258816,1578.7457003416098
8,Sailele,603.865863174171,603.865863174171,624.3528772441282,181.4255861225872,8.350684931494325,525.7730410688202,2289.180221620588,2289.180221620588,2244.100441649048,3762.3663300381127,544.0192861700581,544.0192861700581,556.4200567329929
9,Alao,2014.7071233505799,2014.7071233505799,2032.0069527603716,482.2520440097919,8.350684931509631,1205.1917226261633,5140.751236325824,5140.751236325824,5040.27161898601,8702.283598810229,809.6684989577374,809.6684989577374,851.2827462253236
10,Pago Pago Harbor,13781.441540491078,13781.441540491078,14730.851768600342,4093.477839175038,334.02739726039226,9114.104550549227,75266.70653630022,75266.70653630022,76973.48911725853,130950.0616273518,38374.834981868145,38374.834981868145,32101.306385957752
11,Fagaitua,6080.84351666972,6080.84351666972,6119.625487613457,1295.54611478016,29.227397260273968,5389.469449241949,27300.386276348312,27300.386276348312,26344.726890770766,43207.65475240505,5893.850805877479,5893.850805877479,6730.526791080066
12,Auasi,1209.8889887081068,1209.8889887081068,1210.3482722923754,192.0866264256984,0.0,851.2061928170027,3349.4736420301283,3349.4736420301283,3252.5082773702875,5673.190908147492,456.33709669263345,456.33709669263345,563.7756178318072
13,Amouli,2775.176162259982,2775.176162259982,2788.544217738981,612.4601000172634,4.175342465758992,1665.5928227698564,7222.785756614062,7222.785756614062,7206.348820535491,12150.511054266259,1125.7001673388968,1125.7001673388968,1109.3258610954072
14,Alega,1338.6913451492462,1338.6913451492462,1338.6983028807106,113.32575128430739,0.0,1589.1840601608094,9170.854400450125,9170.854400450125,8553.20995412653,14534.64548586051,2796.9714490588467,2796.9714490588467,3493.321145588369
15,Laulii - Aumi,3430.475283528737,3430.475283528737,3508.171450297253,279.31649041024065,16.701369863019263,2612.7135928687712,16664.654682744185,16664.654682744185,16921.417370521045,29170.9396996085,7077.908337878276,7077.908337878276,6698.42538350664
16,Fagasa,3716.472327613615,3716.472327613615,3840.2016408293703,514.5204871822834,41.75342465764558,3244.811729144986,26506.799837138933,26506.799837138933,25591.759472413978,44445.42103987112,12851.16825505997,12851.16825505997,13375.716587932739
17,Aasu,9639.849754293477,9639.849754293477,9702.709534588535,556.0720984615238,12.526027397278156,10109.561864643472,66455.3979322562,66455.3979322562,62455.531107696945,107340.70616143792,24450.353132394073,24450.353132394073,28769.055932060568
18,Fagaalu,2769.3445963900745,2769.3445963900745,2915.683387566868,538.9810298418115,45.928767123280714,2502.964708155512,17124.49210745613,17124.49210745613,17215.772048722873,31021.298392263696,9990.620295806164,9990.620295806164,9280.415405034066
19,Aoloau Sisifo,1545.955343758509,1545.955343758509,1545.9692618916395,0.0,0.0,2193.3213122030256,10614.534733147777,10614.534733147777,9716.731726342006,17707.335177656892,3884.7525533085022,3884.7525533085022,4937.175446901796
20,Aoloau Sasae,5507.248873104622,5507.248873104622,5507.262791213468,71.70454659136598,0.0,6987.943621441042,41920.72372676283,41920.72372676283,38496.963796641474,68648.41311217264,16078.527048115318,16078.527048115318,19927.441288373604
21,Fagamalo,2218.4916743980643,2218.4916743980643,2243.2027403832262,150.27753079562697,4.175342465760384,2738.2661322336485,14058.684274343372,14058.684274343372,13075.1962552885,22723.229660865556,4294.979950563836,4294.979950563836,5357.8203211532455
22,Matuu - Faganeanea,2801.995779990051,2801.995779990051,2902.0926588087,344.9319942049447,29.22739726018351,3125.4595652491744,19087.759007923436,19087.759007923436,18343.74776525067,32519.48778761937,8141.74381239736,8141.74381239736,8648.665213974326
