,SHED_NAME,actual_et_x,actual_et_y,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration_x,net_infiltration_y,net_infiltration,rainfall,runoff_x,runoff_y,runoff
0,Fagatuitui - Vaaogeoge,0.07850006998003864,0.07850006998003864,0.07850070696212995,0.0,0.0,0.12192214685432332,0.6109123917290745,0.6109123917290745,0.5643407585073934,1.0,0.22067726719188063,0.22067726719188063,0.2759815196172921
1,Vatia,0.09165935500447285,0.09165935500447285,0.09400359409386459,0.009515356087605557,0.0006894445529108551,0.1092560229823177,0.6028476366447438,0.6028476366447438,0.5799031765566691,1.0,0.2373996348885965,0.2373996348885965,0.2600664015079551
2,Tula,0.2567632474913252,0.2567632474913252,0.25830101306520775,0.056281440345414345,0.0014015078653422215,0.12568488929772867,0.5535558976263004,0.5535558976263004,0.566596148027883,1.0,0.13533349218838064,0.13533349218838064,0.10720522973507295
3,Onenoa,0.21285063623902314,0.21285063623902314,0.21423249148595655,0.027465160207142573,0.0014952451243240618,0.1497973949718655,0.5841137709504822,0.5841137709504822,0.578137772815817,1.0,0.08995394636219803,0.08995394636219803,0.09935405381325946
4,Afono,0.1042148074458975,0.1042148074458975,0.10506799972691694,0.010321437328748174,0.0003424182602259972,0.08541528385507932,0.6256982245872633,0.6256982245872633,0.6140080637777597,1.0,0.2270877955080625,0.2270877955080625,0.24011243444102592
5,Masefau,0.1159065775246035,0.1159065775246035,0.11597531185129788,0.023744729508907,0.000124594108884316,0.10604080018894886,0.6399682946794985,0.6399682946794985,0.6085348631874048,1.0,0.18274197132443673,0.18274197132443673,0.2187747950464537
6,Aoa,0.19364273847828575,0.19364273847828575,0.19588813482862913,0.026405076098417843,0.0006013111601496696,0.13140252368112085,0.5932736335641433,0.5932736335641433,0.579604327378214,1.0,0.12034040289560999,0.12034040289560999,0.12962414582816603
7,Masausi,0.15522001122399184,0.15522001122399184,0.15573930084212115,0.041135722125912766,0.0007296802319385337,0.14032480565247343,0.6178555184999469,0.6178555184999469,0.6187487725771045,1.0,0.14146675499593306,0.14146675499593306,0.13795030446556233
8,Sailele,0.16050161260295295,0.16050161260295295,0.165946859629111,0.04822113803063652,0.002219529997603857,0.13974530785881611,0.6084416085015832,0.6084416085015832,0.5964598459571893,1.0,0.1445949805117853,0.1445949805117853,0.14789098347245638
9,Alao,0.23151476281766195,0.23151476281766195,0.2335027271506282,0.05541672349953352,0.0009595969651749033,0.13849143261556499,0.5907358887991957,0.5907358887991957,0.5791895382121439,1.0,0.09304092308235447,0.09304092308235447,0.09782291470502186
10,Pago Pago Harbor,0.10524196299891257,0.10524196299891257,0.11249213315011895,0.0312598389668877,0.0025507998477384704,0.069599849265329,0.5747741207674172,0.5747741207674172,0.5878079640489526,1.0,0.2930493846659841,0.2930493846659841,0.24514159051951673
11,Fagaitua,0.14073532922615395,0.14073532922615395,0.14163290099129539,0.029984180400535316,0.0006764402610546016,0.1247341351926063,0.6318414279319038,0.6318414279319038,0.609723602026892,1.0,0.13640756110581104,0.13640756110581104,0.15577162957925708
