SHED_NAME,actual_et_x,actual_et_y,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration_x,net_infiltration_y,net_infiltration,rainfall,runoff_x,runoff_y,runoff
Fagatuitui - Vaaogeoge,1.1328357600938534,1.1328357600938534,1.132844952392558,0.0,0.0,1.7594604430176048,8.816086454587126,8.816086454587126,8.144010473853466,14.431015926252245,3.1845971574078513,3.1845971574078513,3.9826937049484394
Vatia,1.3197718117598558,1.3197718117598558,1.353525711403311,0.1370083691148224,0.009927077128774478,1.5731402363677274,8.680197646939101,8.680197646939101,8.349828186464363,14.39865916245486,3.4182364280521287,3.4182364280521287,3.744607474919183
Tula,0.6062300528139057,0.6062300528139057,0.6098607893549746,0.13288311659243976,0.003309025709585732,0.2967479100740311,1.3069714000434538,1.3069714000434538,1.337760041980712,2.36104683492285,0.31952871339043243,0.31952871339043243,0.25311656835317103
Onenoa,0.3140302175916946,0.3140302175916946,0.3160689444263534,0.040520857200324785,0.0022060171397238217,0.22100431254928823,0.8617750824286989,0.8617750824286989,0.8529583646226544,1.4753548457287702,0.13271399065789471,0.13271399065789471,0.14658248473618934
Afono,1.0071001380903806,1.0071001380903806,1.0153451282706714,0.09974322472811603,0.0033090257095883062,0.8254272715529136,6.0465569512458455,6.0465569512458455,5.93358679993926,9.663695234606758,2.1945072472886173,2.1945072472886173,2.32037338847757
Masefau,1.026099463756255,1.026099463756255,1.0267079560201886,0.2102076925785765,0.0011030085698652196,0.9387595642453324,5.665520784204389,5.665520784204389,5.38724643699394,8.852814789897879,1.6177808264760678,1.6177808264760678,1.9367727412441227
Aoa,0.7104128916549624,0.7104128916549624,0.7186505282774055,0.09687172683498196,0.0022060171397247047,0.48207357297589853,2.1765300412244026,2.1765300412244026,2.126381755723101,3.6686781917960993,0.4414902116950805,0.4414902116950805,0.4755492769299901
Masausi,0.4692713194091294,0.4692713194091294,0.4708412698448587,0.1243642133810816,0.0022060171397257885,0.42423915689156705,1.8679413310457647,1.8679413310457647,1.8706418753637937,3.0232655938411357,0.427691573051558,0.427691573051558,0.4170604091506438
Sailele,0.15952445280644711,0.15952445280644711,0.16493654828733584,0.0479275599371761,0.0022060171397227193,0.1388945158052324,0.6047373175059539,0.6047373175059539,0.5928285018713124,0.9939118381388284,0.1437146628661166,0.1437146628661166,0.1469905992272682
Alao,0.5322292101897694,0.5322292101897694,0.5367993407246129,0.12739748697015477,0.0022060171397267625,0.31837790774959884,1.3580425356026657,1.3580425356026657,1.3314986341307724,2.298899662864896,0.21389174670666342,0.21389174670666342,0.2248850656358362
Pago Pago Harbor,3.640670974634609,3.640670974634609,3.8914785734146897,1.0813822277305483,0.08824068558907236,2.407691227327691,19.883356399107505,19.883356399107505,20.334240567084425,34.59333968022078,10.137556906830072,10.137556906830072,8.480266310591231
Fagaitua,1.6063885934856734,1.6063885934856734,1.6166337043138224,0.34224700823370446,0.007721059989041095,1.4237469233451443,7.211997643395487,7.211997643395487,6.959539192188695,11.414252571252348,1.5569903550902653,1.5569903550902653,1.7780167234532032
Auasi,0.31961879392499803,0.31961879392499803,0.31974012378802147,0.0507439082761296,0.0,0.22486484236885326,0.8848371509623831,0.8848371509623831,0.8592216166494636,1.4986981885871395,0.12055148350748639,0.12055148350748639,0.1489337325138642
Amouli,0.733123837136544,0.733123837136544,0.7366553030885422,0.1617948095417605,0.0011030085698644845,0.4400029871767585,1.90805775889625,1.90805775889625,1.9037155806185018,3.2098248062276262,0.29737846460625106,0.29737846460625106,0.29305283137729593
Alega,0.3536447700307667,0.3536447700307667,0.3536466080686031,0.029937490368278055,0.0,0.4198179315408014,2.422682948675711,2.422682948675711,2.259518580001514,3.8396463672907433,0.7388815416407738,0.7388815416407738,0.9228376336723707
Laulii - Aumi,0.9062355166003535,0.9062355166003535,0.926760668367926,0.0737875959046541,0.004412034279453525,0.6902057752553291,4.402335156849897,4.402335156849897,4.4701646696052855,7.7061454823249775,1.8697852014339802,1.8697852014339802,1.7695364304117163
Fagasa,0.981787927730344,0.981787927730344,1.0144737478611765,0.1359219061399182,0.01103008569865955,0.8571884041116894,7.002354326576667,7.002354326576667,6.760626283346546,11.741235766944834,3.394918820275703,3.394918820275703,3.5334898024673675
Aasu,2.546578389291217,2.546578389291217,2.563184183171323,0.14689867839477766,0.0033090257095937654,2.6706631769065954,17.555655382559983,17.555655382559983,16.49900256378252,28.35640902807938,6.459098687690807,6.459098687690807,7.599979043684304
Fagaalu,0.7315833007175588,0.7315833007175588,0.7702419118603148,0.14238369661537104,0.012133094268491313,0.661213192882858,4.523811329010902,4.523811329010902,4.547924933655219,8.194958438881086,2.6392421447837062,2.6392421447837062,2.4516258983786594
Aoloau Sisifo,0.4083981150713728,0.4083981150713728,0.40840179185243825,0.0,0.0,0.5794140776872977,2.804062869525115,2.804062869525115,2.5668884536112206,4.6777821485519775,1.0262428515126136,1.0262428515126136,1.3042635121589414
Aoloau Sasae,1.4548609493057945,1.4548609493057945,1.4548646260804443,0.018942333482134338,0.0,1.8460190423633231,11.074281428346392,11.074281428346392,10.169819920086372,18.13498858866887,4.24749664735472,4.24749664735472,5.264272020032233
Fagamalo,0.5860633826090855,0.5860633826090855,0.5925913543325178,0.03969911586534237,0.0011030085698648523,0.7233732406844274,3.7139107421218376,3.7139107421218376,3.4541007451520738,6.002841025970175,1.1346134435003499,1.1346134435003499,1.4153861098796954
