,Variable,total_[m3pd],total_[MGD],total_[Mld],pct_of_pcip
0,actual_et,209936.52312167687,55.459362236590515,209.93642440401212,0.13869802499994843
1,direct_net_infiltation,62855.87994381646,16.604766825081434,62.855850387331515,0.04152677332275511
2,direct_soil_moisture,5912.410882730037,1.5618937189258806,5.912408102559218,0.0039061317212897347
3,interception,122216.61590025162,32.28621428875345,122.2165584307902,0.08074442214953453
4,net_infiltration,888234.9016455092,234.6468371917808,888.234483974139,0.5868270311538516
5,rainfall,1450767.1375559275,383.2521326268836,1450.7664553671316,0.9584732266772449
6,runoff,297166.6352040489,78.50311999717212,297.1664954684953,0.1963280366170166
