,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,266060.377108162,62855.87994381645,5912.410882730037,141039.43690931273,938629.0413137095,1580919.771484442,270107.7693215287
FEB,256578.8460228327,62855.87994381646,5912.410882730037,135662.14669409863,907522.2375567624,1503402.7895956635,271345.83771121304
MAR,237980.1959045054,62855.87994381645,5912.410882730037,137324.9273627822,1027156.2846557605,1713825.7202604164,379159.1175985132
APR,203917.14872390512,62855.87994381645,5912.410882730037,127651.48207240194,838968.5119036497,1364620.9874650324,259215.6547002135
MAY,167936.52729572827,62855.87994381645,5912.410882730037,114217.17616212522,891176.2930071781,1335202.1119490815,234178.3235750428
JUN,149757.36829453203,62855.87994381645,5912.410882730037,119500.31711252853,984920.8033642628,1581419.9233696742,393701.11637315183
JUL,151208.34670392433,62855.87994381645,5912.410882730037,99679.63085496832,780952.9959817086,1225496.0102819714,266055.98357554106
AUG,171099.92740115905,62855.87994381645,5912.410882730037,102118.7152934038,747077.2854979208,1162046.0536575927,214037.14809304583
SEP,196419.88199098778,62855.87994381645,5912.410882730037,110804.66725544696,793788.1725292203,1267579.326692951,227420.00619407036
OCT,224013.162826488,62855.87994381645,5912.410882730037,132060.93264467653,916624.4874436005,1575094.9510229328,375207.3976084242
NOV,245438.10864879188,62855.87994381645,5912.410882730037,116652.09040283893,874732.2469346888,1460003.5474948345,309758.92476362543
DEC,251915.9150512026,62855.87994381645,5912.410882730037,130729.11596178231,957184.3994248599,1640512.5925874393,363359.65805474424
