SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
Fagatuitui - Vaaogeoge,1.2441536836349498,0.0,0.0,1.8590317818588808,8.375072376751323,15.112305628622387,4.254244758354147
Vatia,1.5263510729490255,0.17882067227148887,0.019854154257527488,1.5276314798599075,8.513177784866576,14.697742247844328,3.627566774598248
Tula,0.684263773027906,0.16941246853688366,0.019026897830142088,0.3056487301745871,2.1202977414348485,3.5401587653119377,0.6235799179313085
Onenoa,0.2790257793374044,0.04847355097067152,0.0035847778520535995,0.2606602249860053,1.2449437129692886,2.0366749766205743,0.35232759353120924
Afono,1.1335412218019847,0.11629892791781016,0.017923889260296446,0.8409502790561285,6.11934677188358,10.460156077780402,2.7016963207372724
Masefau,1.2984152755896026,0.24958097134792953,0.01433911140820484,0.9545932539537878,6.1466586353170545,10.519123983694518,2.611079573622514
Aoa,0.74625331523347,0.1295874238980304,0.014339111408231265,0.5248105583368924,2.8978530682940193,4.857390599549342,0.9162209631334602
Masausi,0.6229980831185199,0.13275489732680423,0.0074453078465792945,0.3975867929239815,2.5053368987759774,4.155404622654383,0.8488588498409305
Sailele,0.20473355932368378,0.06058550459035292,0.004963538564387192,0.16039628847448895,0.8559704961828305,1.4111827366887757,0.26395730357326314
Alao,0.5129164475620814,0.1670768474660492,0.015993624263002666,0.325319510583708,1.9362741039208675,3.142166211990254,0.5679763380040913
Pago Pago Harbor,4.408479372359725,1.581883450094801,0.22363498754021136,2.1567066848502616,18.901854337184997,32.66011642802258,8.223340222764891
Fagaitua,1.5669927944071531,0.4878446148321616,0.04963538564386351,1.4093214023145237,8.566182383101339,13.843125502488244,2.8454762458678005
Auasi,0.2635331037637223,0.08281434456026965,0.007721059989039946,0.2176029111327258,1.295576866386874,1.9889955765977252,0.2876398166369733
Amouli,0.6796463005304135,0.22898090734696144,0.019026897830131242,0.41231011932045386,2.777796103808299,4.335398172316557,0.6981635205650063
Alega,0.32300135559485726,0.06599346382594332,0.0027575214246460906,0.3958261166159181,2.2763265821456153,3.893140019208202,1.004769570947775
Laulii - Aumi,0.8328390341813323,0.21606881262736272,0.023990436394530752,0.678478036509024,4.828066598445106,8.076161587551997,1.9938497607358212
Fagasa,1.1857093987512282,0.18056112765302107,0.02316317996711493,0.8124228014369227,6.359840319124749,11.438231019393935,3.429494934540539
Aasu,2.6697757019933004,0.19771934540140645,0.024266188537063516,2.7624969091126528,18.37118909756908,32.41440907049468,9.748914126430916
Fagaalu,0.8690687377531924,0.19254255876038454,0.032263000668509054,0.6221671530358089,4.518723231733778,8.440070306171275,2.660804116518202
Aoloau Sisifo,0.39015021668509514,0.0,0.0,0.599141382440976,2.808934492986756,5.026565941868085,1.4314169613563217
Aoloau Sasae,1.538265412356673,0.026920303302649714,0.004136282136984739,1.7714262494360893,11.081302984406316,19.608636057371875,5.913551575605152
Fagamalo,0.5770807542363565,0.052391069993726544,0.002206017139725807,0.7428234204646466,3.7466443509146705,6.4621089079060186,1.6165325921778957
Matuu - Faganeanea,0.6617504469021958,0.17269254052926072,0.021508667112307256,0.7815142007082164,5.085983564828164,9.01660793969659,2.665922079290455
Nuuuli Pala,8.560433423082614,1.866244581971157,0.4483729836479721,3.287654920831237,34.38554760482017,61.18677270045857,16.042503154085825
Maloata,0.8659720256319238,0.07623673736388507,0.0030332735671208524,1.0044313172346409,5.855387173738073,10.3351998783164,2.9695716052521632
Fagalii,0.7659383520978275,0.1596140759253543,0.0110300856986249,0.7025470596183423,3.956244032787616,6.858571617377542,1.7998912226402288
Afao - Asili,0.9538850347015512,0.06591992964079853,0.0104785814137007,0.9433269352663501,6.272543179229128,11.145560543692929,3.1879668542758073
Leone,8.92714974726456,1.666668961455354,0.24486790250957705,2.6284211661376484,33.571986858595274,56.35497703332299,13.643826312375314
Poloa,0.3978524331144611,0.12777894980735785,0.0074453078465707475,0.3800365452816167,2.0834784093842997,3.5201962845699812,0.9128200188310724
Nua - Seetaga,0.9642482573831495,0.1501842711555758,0.01654512854795679,1.1944268402892149,6.554536524632562,11.584433886524566,3.133410663950969
Tafuna Plain,11.543732854955666,2.5661536275469725,0.5498497720754852,0.3502208481198142,27.91052518032462,46.50653537469224,8.28360813919027
Amanave,0.40918262784279286,0.08454836619138513,0.010754333556162914,0.3657135214485434,1.9998326706521137,3.4940954209935233,0.8013646784518892
Fagatele - Larsen,1.6444332090551765,0.11532138690194269,0.01075433355614784,0.6366597633239583,5.2240356266295285,9.453541184996151,2.145212408784965
