,Variable,total_[m3pd],total_[MGD],pct_of_pcip
0,actual_et,244809.63566836616,64.67186395990086,0.22912705830997482
1,direct_net_infiltation,53695.44442033208,14.184835769790965,0.05025569843722953
2,direct_soil_moisture,7225.700456011108,1.9088281212066995,0.0067628199567996115
3,interception,96895.29009910674,25.597027676367283,0.09068814927928415
4,net_infiltration,607201.0405246258,160.4055452388923,0.568303563045337
5,rainfall,1014749.4501899551,268.0684451692479,0.9497443015627705
6,runoff,117758.48952644753,31.108501893669157,0.11021484600700879
