,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,287918.6688901321,74474.53192018904,7225.700456011109,142610.78956959437,1132853.6230625808,1938229.024857733,431509.32002970274
FEB,279668.8293606004,74474.53192018904,7225.700456011109,127116.8886095737,934842.0393961939,1551605.594737913,295591.7769908543
MAR,256704.13921110492,74474.53192018904,7225.700456011109,111484.3965086508,782960.3587429371,1248893.0736439822,169574.39282233984
APR,221794.94110543982,74474.53192018904,7225.700456011109,118634.95464562607,885672.1875161268,1403196.7927086353,251159.13306592125
MAY,181431.79947050047,74474.53192018904,7225.700456011109,122854.36895602763,1132441.0888994948,1841133.0840820614,503579.89604547794
JUN,161715.94504872625,74474.53192018904,7225.700456011109,120822.56189021331,1119436.4229745618,1875797.605435889,564979.8327574555
JUL,161490.74654519494,74474.53192018904,7225.700456011109,102284.60647529403,934185.2223982412,1530572.6699282029,425967.62998788053
AUG,183913.934984814,74474.53192018904,7225.700456011109,101611.7056906349,872848.3369622767,1391384.7441358839,324740.2583087448
SEP,211735.67537131478,74474.53192018904,7225.700456011109,127581.7961579192,1134163.7558791935,1978994.0460182386,598719.5101358945
OCT,241340.15375200994,74474.53192018904,7225.700456011109,128542.8413644554,1026666.2882931803,1799321.696486339,494140.94366647926
NOV,265026.70985480334,74474.53192018904,7225.700456011109,117127.91645413231,1024091.7593669642,1737823.29867471,438042.40114721004
DEC,272364.77613659686,74474.53192018904,7225.700456011109,140019.90149348121,1227372.7214778343,2211142.6397635397,662125.3561134207
