,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,236551.27733526423,62872.13646776159,1388.3942986791953,169801.81801766407,1144870.3910202275,1938229.024857733,420010.2666428879
FEB,230071.5518913176,62872.136467761586,1388.3942986791953,150708.30725034507,944318.5393755216,1551605.594737913,289457.0297909163
MAR,211502.28052084183,62872.13646776159,1388.3942986791953,132764.2989092226,793159.201203741,1248893.0736439822,164200.95738263437
APR,182408.4152537667,62872.136467761586,1388.3942986791953,142086.0927377906,888044.5747575273,1403196.7927086353,244428.8987101631
MAY,150003.98939253538,62872.13646776159,1388.3942986791953,145406.32264300852,1134876.834832792,1841133.0840820614,488016.07590521214
JUN,132957.04839862298,62872.136467761586,1388.3942986791953,144009.35633319762,1116685.4819798484,1875797.605435889,552802.6413693513
JUL,133372.38649149323,62872.13646776159,1388.3942986791953,121515.64279689251,934092.9267205924,1530572.6699282029,413990.11211381044
AUG,152065.65744900386,62872.13646776159,1388.3942986791953,124056.1700262831,872594.2029826633,1391384.7441358839,314645.99837293295
SEP,174352.13505480243,62872.136467761586,1388.3942986791953,151271.89767853488,1140419.2334125945,1978994.0460182386,584614.696685753
OCT,198873.91814395023,62872.13646776159,1388.3942986791953,154539.20819555197,1032342.2160157998,1799321.696486339,483134.96488099045
NOV,218816.61297496298,62872.136467761586,1388.3942986791953,139805.72015139548,1034799.9568990213,1737823.29867471,426608.1619307922
DEC,224893.588844132,62872.13646776159,1388.3942986791953,166717.89208468093,1241233.9368873003,2211142.6397635397,647495.6678230062
