,Variable,total_[m3pd],total_[MGD],total_[Mld],pct_of_pcip
0,actual_et,186912.8379367545,49.377148062014676,186.91275004543098,0.10543749472819197
1,direct_net_infiltation,62872.136467761586,16.609061344380766,62.8721069036324,0.03546615968461649
2,direct_soil_moisture,1388.3942986791953,0.36677497175200197,1.388393645819746,0.0007831929479192481
3,interception,145188.6754600264,38.35479041596537,145.18860718849947,0.08190090296841766
4,net_infiltration,1023527.8288042216,270.38744746660603,1023.5273475145652,0.5773718447858518
5,rainfall,1709863.8187879885,451.6982347394683,1709.8630147651309,0.9645338403153835
6,runoff,419821.2167994335,110.90503258259358,419.8210193884756,0.2368210649503448
