,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,239671.79191537222,59865.54698062618,1388.3942986791953,150068.19370345984,893674.5991512696,1463457.8018711165,201220.7130297376
FEB,233357.15207252084,59865.54698062618,1388.3942986791953,139187.35627610024,771583.5165734643,1260818.9823164719,173207.11448006882
MAR,215472.0970166745,59865.54698062618,1388.3942986791953,144425.06468217133,953367.5098270585,1535626.7710342642,273027.0892121757
APR,183659.00550890595,59865.546980626175,1388.3942986791953,147938.29615683417,948547.1532489952,1531522.715361555,306772.8921504903
MAY,150314.4174606233,59865.54698062618,1388.3942986791953,145617.9879662629,1130225.2913678621,1850225.5123022262,498933.74204263015
JUN,131448.9505404383,59865.546980626175,1388.3942986791953,153638.74906915397,1206779.1967519678,2110978.721241132,695575.0406095249
JUL,131966.53146865137,59865.54698062618,1388.3942986791953,112047.79672947017,825338.3900823877,1279693.2375549306,273932.2209686787
AUG,150640.4994998057,59865.54698062618,1388.3942986791953,128350.1044851052,928723.300629256,1512920.6900763835,375691.2543065816
SEP,174802.26177570169,59865.546980626175,1388.3942986791953,135253.26201752183,969291.6048245488,1591292.8920013723,370116.2338204918
OCT,201069.60662129294,59865.54698062618,1388.3942986791953,156728.11294324417,1051739.299557842,1854704.3155937162,513773.4457210221
NOV,219821.52518120443,59865.546980626175,1388.3942986791953,141698.70539026873,1051095.9092183814,1787014.5891335497,455928.6239450442
DEC,225786.38743894963,59865.54698062618,1388.3942986791953,138135.21249082277,913006.6044277899,1514309.1008608134,289326.2171601861
