OID,gage_name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,9120-Afono,1,152,1520000.000000000000000,29.409999847400002,60.259998321499999,30.849998474100001,58.355197354399998,4.083979895280000,8869.989997860000585
1,Fagaitua,2,70,700000.000000000000000,20.680000305200000,25.260000228900001,4.579999923710000,22.399857275799999,1.111689119430000,1567.990009310000005
2,9060,3,47,470000.000000000000000,19.139999389600000,21.989999771099999,2.850000381470000,19.461489332500001,0.410712784386000,914.689998627000023
3,9639,4,36,360000.000000000000000,19.350000381499999,20.799999237100000,1.449998855590000,20.191666656100001,0.365805679576000,726.899999619000027
4,9600,5,45,450000.000000000000000,36.590000152599998,59.419998168900001,22.829998016400001,40.064666408999997,4.263260659930000,1802.909988399999975
5,Vaipito,6,232,2320000.000000000000000,45.090000152599998,58.630001068100000,13.540000915500000,51.770689701199998,2.609473808000000,12010.800010700000712
6,Fagaalu,7,189,1890000.000000000000000,44.490001678500001,61.790000915500002,17.299999237100000,55.543174481299999,4.561825978040000,10497.659976999999344
7,9175-Fagasa,8,57,570000.000000000000000,52.549999237100003,72.519996643100001,19.969997406000001,67.636841824200005,5.123669208420000,3855.299983979999979
8,9480,9,71,710000.000000000000000,44.830001831099999,64.260002136200001,19.430000305200000,56.592957671299999,5.301859816420000,4018.099994659999993
9,9442-Nuuuli,10,198,1980000.000000000000000,48.819999694800003,72.510002136200001,23.690002441400001,57.120404098999998,3.135004473380000,11309.840011599999343
10,9205,11,277,2770000.000000000000000,38.970001220699999,52.029998779300001,13.059997558599999,48.398086616699999,3.338486522240000,13406.269992800000182
11,9250-Maloata,12,211,2110000.000000000000000,47.860000610400000,82.620002746599994,34.760002136200001,75.659857890100000,5.011263307420000,15964.230014799999481
12,9335-Leone,13,254,2540000.000000000000000,33.250000000000000,51.909999847400002,18.659999847400002,42.057401642099997,3.715556523930000,10682.580017099999168
13,9310,14,63,630000.000000000000000,40.169998168900001,59.009998321499999,18.840000152599998,50.431904686800003,5.376244185070000,3177.209995270000036
14,9315,15,77,770000.000000000000000,42.750000000000000,66.150001525899995,23.400001525899999,61.563766132700003,5.594535303920000,4740.409992220000277
