OID,gage_name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,9120-Afono,1,152,1520000.000000000000000,76.629997253400006,211.490005493000012,134.860008240000013,98.524210779300006,27.909110463400001,14975.680038500000592
1,Fagaitua,2,70,700000.000000000000000,65.129997253400006,99.199996948199995,34.069999694800003,77.421713692799997,5.787353135790000,5419.519958500000030
2,9060,3,47,470000.000000000000000,36.909999847400002,83.040000915500002,46.130001068100000,47.872127451799997,7.165667239330000,2249.989990229999876
3,9639,4,36,360000.000000000000000,28.010000228900001,77.680000305199997,49.670000076299999,40.778055455900002,9.068852278520000,1468.009996409999985
4,9600,5,45,450000.000000000000000,83.309997558600003,177.520004271999994,94.210006713900000,103.659111362000004,15.295604931600000,4664.660011289999602
5,Vaipito,6,232,2320000.000000000000000,55.369998931900000,238.270004271999994,182.900005340999996,120.195086166999999,20.173853049500000,27885.259990700000344
6,Fagaalu,7,189,1890000.000000000000000,25.430000305200000,183.240005493000012,157.810005187999991,111.773439095000001,22.157275317600000,21125.179988899999444
7,9175-Fagasa,8,57,570000.000000000000000,64.339996337900004,180.410003662000008,116.070007324000002,109.851754172000000,21.327828958200001,6261.549987790000159
8,9480,9,71,710000.000000000000000,79.900001525899995,177.910003662000008,98.010002136200001,105.017605849000006,17.384895650299999,7456.250015259999600
9,9442-Nuuuli,10,198,1980000.000000000000000,91.500000000000000,228.220001220999990,136.720001220999990,118.833232147999993,17.197433961900000,23528.979965200000152
10,9205,11,277,2770000.000000000000000,81.199996948199995,198.410003662000008,117.210006714000002,122.659855645999997,17.789980994499999,33976.780014000003575
11,9250-Maloata,12,211,2110000.000000000000000,67.839996337900004,247.449996948000006,179.610000609999986,94.445260757499994,32.040347323299997,19927.950019799998699
12,9335-Leone,13,254,2540000.000000000000000,80.339996337900004,268.209991455000022,187.869995117000002,127.281023520999995,22.621065061400000,32329.379974399998900
13,9310,14,63,630000.000000000000000,47.599998474099998,140.240005493000012,92.640007018999995,77.494445074200001,14.365504171500000,4882.150039670000297
14,9315,15,77,770000.000000000000000,93.069999694800003,238.190002440999990,145.120002747000001,112.285974081000006,23.897799474100001,8646.020004269999845
