OID,gage_name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,9120-Afono,1,152,1520000.000000000000000,164.380004882999998,180.160003662000008,15.779998779300000,177.037697240000000,3.391712253420000,26909.729980500000238
1,Fagaitua,2,70,700000.000000000000000,122.550003051999994,149.960006714000002,27.410003662099999,132.612429155999990,6.629603345940000,9282.870040890000382
2,9060,3,47,470000.000000000000000,94.500000000000000,114.309997558999996,19.809997558599999,96.276595907000001,2.816522725800000,4525.000007630000255
3,9639,4,36,360000.000000000000000,86.319999694800003,92.809997558600003,6.489997863770000,90.090555402999996,1.648432922980000,3243.259994510000070
4,9600,5,45,450000.000000000000000,160.520004271999994,179.139999390000014,18.619995117199998,172.506666394999996,4.764682811440000,7762.799987790000159
5,Vaipito,6,232,2320000.000000000000000,170.490005493000012,209.639999390000014,39.149993896500000,196.119352800999991,9.361036729920000,45499.689849900001718
6,Fagaalu,7,189,1890000.000000000000000,156.080001831000004,216.789993285999998,60.709991455100003,194.969735684999989,15.944566455400000,36849.280044599996472
7,9175-Fagasa,8,57,570000.000000000000000,186.160003662000008,209.990005493000012,23.830001831099999,202.624912998000013,5.680660941130000,11549.620040899999367
8,9480,9,71,710000.000000000000000,157.289993285999998,216.110000609999986,58.820007324199999,191.283802946000009,17.219749262299999,13581.150009200000568
9,9442-Nuuuli,10,198,1980000.000000000000000,171.949996948000006,211.050003051999994,39.100006103500000,201.606414024000003,9.939513585560000,39918.069976799997676
10,9205,11,277,2770000.000000000000000,162.490005493000012,216.279998779000010,53.789993286100000,201.488808752000011,13.715167236199999,55812.400024399998074
11,9250-Maloata,12,211,2110000.000000000000000,171.779998779000010,212.610000609999986,40.830001831099999,196.104597262999988,10.800867576600000,41378.070022599997174
12,9335-Leone,13,254,2540000.000000000000000,157.820007323999988,215.759994506999988,57.939987182599999,199.105551351999992,15.975664535800000,50572.810043299999961
13,9310,14,63,630000.000000000000000,128.330001831000004,190.610000609999986,62.279998779300001,162.078730264999990,17.754105657099998,10210.960006699999212
14,9315,15,77,770000.000000000000000,187.289993285999998,214.789993285999998,27.500000000000000,205.204154869000007,7.436737554370000,15800.719924900000478
