,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,73.6441444554771,17.382308587506547,1.9088277408653669,36.12630912793622,267.6893383025281,456.5381272593077,91.17158662968477
FEB,69.05415440553014,17.382308587506547,1.9088277408653669,36.711184250049854,292.2162008753593,493.7741228526715,117.23436965934832
MAR,64.60775850720371,17.382308587506547,1.9088277408653669,33.246313758201985,259.10267683072465,429.56502041284676,91.98927010694999
APR,59.40849272859379,17.382308587506547,1.9088277408653669,33.69150767492808,257.1835723507912,425.3687082679034,95.25282421461623
MAY,59.40039995626265,17.382308587506547,1.9088277408653669,29.772591485429984,238.95135877505535,386.54090724339,82.66261247552241
JUN,55.503696020053226,17.382308587506547,1.9088277408653669,26.699181850033032,212.3854474705014,348.26424825916445,71.5753909105055
JUL,53.01029635645372,17.382308587506547,1.9088277408653669,23.038599609735193,171.7717143766073,275.3201287358123,47.31610654420509
AUG,62.15828193547046,17.382308587506547,1.9088277408653669,23.671729383082756,163.371897567317,268.2284668129812,40.82762074899946
SEP,67.69613858077204,17.382308587506547,1.9088277408653669,26.35323327902975,176.97398630267745,307.5423307565634,52.22960986365472
OCT,70.54300572419916,17.382308587506547,1.9088277408653669,32.98498438361024,237.69053879519646,431.19889936412704,110.94987361504103
NOV,74.5773826368225,17.382308587506547,1.9088277408653669,30.47600425899694,251.15003495951186,437.3035824693963,107.04069056944155
DEC,71.67695434972917,17.382308587506547,1.9088277408653669,33.50231030202012,268.57064564852527,472.1273692253597,116.8482628308105
