,TFplain,NWest,Central,East,TFplain_S_2,NWest_S_2,Central_S_2,East_S_2,TFplain_S_3,NWest_S_3,Central_S_3,East_S_3,TFplain_S_4,NWest_S_4,Central_S_4,East_S_4
actual_et,116020.54729134757,40850.63732055966,39777.10284224779,28584.147474991463,1.0839790670405465,1.0865411403131144,1.0384420859101764,1.1079774282649293,0.8867318341902446,0.9206618948693188,0.8854763584270942,0.8656264557789862,1.0044325615553689,1.004080137001802,0.9958181866239341,1.0200904939373583
direct_net_infiltation,38583.59006805417,3575.491973737851,7627.200889094557,5916.293393040048,1.1302681629445628,1.187740484534891,1.220068295444417,1.1664743513788731,0.958514052156698,0.9354672194410645,0.9243662042267284,0.9427765407263158,1.0998209015004508,1.1251749118203984,1.1467236661462183,1.1109917170671604
direct_soil_moisture,1473.8958904102162,139.8739726028271,611.6876712331698,171.1890410956767,3.22025495750203,3.059701492537215,2.0989761092171406,3.5121951219557754,0.6090651558076383,0.4179104477613476,0.5273037542659822,0.41463414634240403,2.711756373938966,2.686567164177116,1.6296928327633686,2.5609756097594696
interception,29463.43112527656,42598.57484093847,32758.162540862733,19716.713461945983,0.8296084247392174,0.9474522268274872,0.9799674925169172,0.914974893721334,1.199853350905423,1.0409438206672645,1.0622043235900915,1.089217115544029,0.9891812389200965,0.9978487935129511,0.9999452986090449,0.9904484414440308
net_infiltration,326969.87323940505,234411.6347838341,217979.04739874345,98616.75782842809,0.9957651327093912,0.9975089756744591,0.9967542769139114,0.9954425161924396,1.0074518427138148,1.0044791267214501,1.0018687492845337,1.0136963211781647,0.9922923251648663,0.9975539508477467,0.9901928282937569,0.99418774465479
rainfall,529360.2501009215,408201.4132068554,375624.04133666656,164521.5897852132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
runoff,88669.93516007382,102533.01160327854,93932.73336245329,24247.193185206554,1.0646922706466055,1.002039608787885,1.02794832148035,1.021206522372495,1.0138414758756351,0.9981775746259537,1.0065169393905466,1.0083654992569766,1.1071895685941124,1.012743861156476,1.0466932360954015,1.048952158038618
