,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,286043.0466466195,65180.85289024748,7225.700456011109,130481.62781869246,940633.369930987,1580919.771484442,262813.593323445
FEB,275627.1246164014,65180.85289024748,7225.700456011109,125811.02781769552,910056.2284168921,1503402.7895956635,263902.1591402066
MAR,255649.68628908537,65180.85289024748,7225.700456011109,126991.35991766908,1032034.5938641662,1713825.7202604164,369080.55538429995
APR,218983.70408754805,65180.85289024748,7225.700456011109,117907.70111790724,844112.3446352385,1364620.9874650324,252229.38247033348
MAY,180117.98353586285,65180.85289024748,7225.700456011109,106176.19243162622,896371.5314496187,1335202.1119490815,228418.50395492918
JUN,160647.61720354678,65180.85289024748,7225.700456011109,110151.85958189527,996108.2901397975,1581419.9233696742,383298.3680267756
JUL,162065.2644824988,65180.85289024748,7225.700456011109,92282.10090834777,788324.8799805316,1225496.0102819714,258411.3091245813
AUG,183522.71958359194,65180.85289024748,7225.700456011109,93083.66442450047,751663.3560048597,1162046.0536575927,209064.96538739742
SEP,210886.95439094503,65180.85289024748,7225.700456011109,102232.17197847838,796390.9630222865,1267579.326692951,222580.86954415657
OCT,240429.11084735114,65180.85289024748,7225.700456011109,121719.48327517335,921629.2102603067,1575094.9510229328,367358.0239197397
NOV,263325.73886691505,65180.85289024748,7225.700456011109,107686.93844593223,877131.1814742048,1460003.5474948345,303193.66792091384
DEC,269848.83368585876,65180.85289024748,7225.700456011109,120966.31176990077,960802.4893936857,1640512.5925874393,353757.2464332145
