,Variable,total_[m3pd],total_[MGD],pct_of_pcip
0,actual_et,199848.25357896028,52.794323363932754,0.22301912140137561
1,direct_net_infiltation,35108.058416599175,9.274567856023097,0.03917856774807675
2,direct_soil_moisture,1388.3942986791953,0.36677497175200197,0.001549367938448232
3,interception,108801.35753906661,28.742277950819556,0.12141603807437089
4,net_infiltration,509631.6650360648,134.63044304154008,0.5687195366446226
5,rainfall,860995.6134263462,227.4509785105456,0.9608214322519233
6,runoff,66694.19003378606,17.618741080207148,0.07442686837408154
