SHED_NAME,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
Fagatuitui - Vaaogeoge,1.1397240483351305,0.0,0.0,1.7594604430176048,7.743969474739805,14.431015926252245,4.50235046247612
Vatia,1.3727585055030413,0.1370083691148224,0.009927077128774478,1.5731402363677274,7.810975406962247,14.39865916245486,4.3947758690261
Tula,0.6298142164357232,0.13288311659243976,0.003309025709585732,0.2967479100740311,1.132648253306894,2.36104683492285,0.5036649653429286
Onenoa,0.3211317562523422,0.040520857200324785,0.0022060171397238217,0.22100431254928823,0.7273863554464316,1.4753548457287702,0.2947422735546591
Afono,1.0181283866472215,0.09974322472811603,0.0033090257095883062,0.8254272715529136,5.172584431084994,9.663695234606758,3.2171064879229028
Masefau,1.0668151823229484,0.2102076925785765,0.0011030085698652196,0.9387595642453324,5.006258095605955,8.852814789897879,2.3272616837055615
Aoa,0.7297320870453219,0.09687172683498196,0.0022060171397247047,0.48207357297589853,1.8698973348793342,3.6686781917960993,0.9276228596558223
Masausi,0.48533847873448166,0.1243642133810816,0.0022060171397257885,0.42423915689156705,1.7726597759574778,3.0232655938411357,0.5217598180076211
Sailele,0.17734355648349895,0.0479275599371761,0.0022060171397227193,0.1388945158052324,0.5321336141894609,0.9939118381388284,0.19974933655282864
Alao,0.5324498128329164,0.12739748697015477,0.0022060171397267625,0.31837790774959884,1.054034992236051,2.298899662864896,0.5231827030539625
Pago Pago Harbor,3.906915179074563,1.0813822277305483,0.08824068558907236,2.407691227327691,19.401086125894107,34.59333968022078,9.459962194535155
Fagaitua,1.6182404178951588,0.34224700823370446,0.007721059989041095,1.4237469233451443,6.828198426613377,11.414252571252348,1.9460968463888908
Auasi,0.32239653610324237,0.0507439082761296,0.0,0.22486484236885326,0.681469946596047,1.4986981885871395,0.33599479399753157
Amouli,0.729590532617431,0.1617948095417605,0.0011030085698644845,0.4400029871767585,1.6199794936994372,3.2098248062276262,0.6161644885412143
Alega,0.35328996818273306,0.029937490368278055,0.0,0.4198179315408014,2.2975025091396803,3.8396463672907433,0.8658194429761688
Laulii - Aumi,0.9322334309044452,0.0737875959046541,0.004412034279453525,0.6902057752553291,4.2793533733668845,7.7061454823249775,1.955459551204288
Fagasa,1.014117107474706,0.1359219061399182,0.01103008569865955,0.8571884041116894,6.38517138621499,11.741235766944834,3.9778827460613213
Aasu,2.5735506216532613,0.14689867839477766,0.0033090257095937654,2.6706631769065954,17.23135797648216,28.35640902807938,6.809908736011591
Fagaalu,0.7741410507096852,0.14238369661537104,0.012133094268491313,0.661213192882858,4.665163711340801,8.194958438881086,2.3269969559404493
Aoloau Sisifo,0.41665413407974866,0.0,0.0,0.5794140776872977,2.4406344197415897,4.6777821485519775,1.8531793875326694
Aoloau Sasae,1.4706578694570838,0.018942333482134338,0.0,1.8460190423633231,11.244744044240623,18.13498858866887,4.096766861843456
Fagamalo,0.5913945910463368,0.03969911586534237,0.0011030085698648523,0.7233732406844274,2.669337731602112,6.002841025970175,2.318636158780758
Matuu - Faganeanea,0.7642930183783185,0.09112137477310867,0.007721059989017199,0.825658904271005,4.608640052028104,8.590738127830987,2.5475766106384743
Nuuuli Pala,8.153709592942759,4.712889012718756,0.1577302254905621,3.5889913512842,34.85177644739373,54.73207021728829,12.221246715057624
Maloata,0.805427888891466,0.08163366246981651,0.0,1.0601291145154956,4.570053131775559,9.42237350058561,3.654605647244165
Fagalii,0.6674451922852728,0.14153070322525138,0.002206017139725623,0.6927298253938243,2.3309052842408686,5.2672152200544655,2.0493935981832605
Afao - Asili,0.8872839938194629,0.04021017677135236,0.0011030085698637306,1.0003111194299135,4.743475491930901,9.144367533750856,2.8177916513317167
Leone,8.394281269716366,2.614639526538505,0.017648137117806106,2.8983829664264023,27.539127460987405,42.05881792891911,6.141077424122932
Poloa,0.3939854681204365,0.11930324244226695,0.002206017139720696,0.3422341473068222,1.0544118512529637,2.4209346789928143,0.8609239255332349
Nua - Seetaga,1.0533566366054599,0.04938536993802483,0.0011030085698625724,1.1421083848911693,3.7456038535578404,8.74558397705184,3.0676138976517975
Tafuna Plain,11.732294040206767,3.17981740967125,0.12243395125466805,0.7584544298126337,22.960524173292033,35.64016105236651,2.4532473185545998
Amanave,0.40946803302174656,0.053767990234434106,0.0033090257095835258,0.3402579232698466,0.9077245843972547,2.3636903698825757,0.8283355365512166
Fagatele - Larsen,1.7008631153736462,0.09982043527659885,0.0011030085698649438,0.8293227286744459,4.380015780057273,7.258588714256042,0.47180640050215944
